 trade_date | active_mtf_stocks 
------------+-------------------
 2025-10-01 |              2012
 2025-10-03 |              2016
 2025-10-06 |              2021
 2025-10-07 |              2027
 2025-10-08 |              2026
 2025-10-09 |              2027
 2025-10-10 |              2025
 2025-10-13 |              2028
 2025-10-14 |              2029
 2025-10-15 |              2033
 2025-10-16 |              2037
 2025-10-17 |              2038
 2025-10-20 |              2039
 2025-10-21 |              2040
 2025-10-23 |              2042
 2025-10-24 |              2040
 2025-10-27 |              2044
 2025-10-28 |              2047
 2025-10-29 |              2047
 2025-10-30 |              2047
 2025-10-31 |              2048
 2025-11-03 |              2072
 2025-11-04 |              2074
 2025-11-06 |              2079
 2025-11-07 |              2073
 2025-11-10 |              2075
 2025-11-11 |              2074
 2025-11-12 |              2075
 2025-11-13 |              2074
 2025-11-14 |              2078
 2025-11-17 |              2084
 2025-11-18 |              2084
 2025-11-19 |              2083
 2025-11-20 |              2084
 2025-11-21 |              2085
 2025-11-24 |              2085
 2025-11-25 |              2086
 2025-11-26 |              2089
 2025-11-27 |              2092
 2025-11-28 |              2091
 2025-12-01 |              2105
 2025-12-02 |              2100
 2025-12-03 |              2099
 2025-12-04 |              2098
 2025-12-05 |              2101
 2025-12-08 |              2098
 2025-12-09 |              2097
 2025-12-10 |              2097
 2025-12-11 |              2098
 2025-12-12 |              2098
 2025-12-15 |              2102
 2025-12-16 |              2104
 2025-12-17 |              2102
 2025-12-18 |              2099
(54 rows)

