 trade_date |  symbol  | stock_mtf_cr | mtf_share_pct 
------------+----------+--------------+---------------
 2025-12-18 | HAL      |      1647.40 |          1.49
 2025-12-18 | JIOFIN   |      1384.31 |          1.25
 2025-12-18 | MAZDOCK  |      1142.47 |          1.03
 2025-12-18 | BEL      |      1115.43 |          1.01
 2025-12-18 | TRENT    |      1067.36 |          0.96
 2025-12-18 | TMPV     |       992.33 |          0.90
 2025-12-18 | CDSL     |       932.95 |          0.84
 2025-12-18 | YESBANK  |       903.96 |          0.82
 2025-12-18 | SUZLON   |       902.36 |          0.82
 2025-12-18 | NAZARA   |       874.43 |          0.79
 2025-12-18 | TCS      |       862.72 |          0.78
 2025-12-18 | KAYNES   |       853.60 |          0.77
 2025-12-18 | VEDL     |       842.87 |          0.76
 2025-12-18 | PFC      |       832.04 |          0.75
 2025-12-18 | RECLTD   |       811.02 |          0.73
 2025-12-18 | BSE      |       798.88 |          0.72
 2025-12-18 | ETERNAL  |       740.29 |          0.67
 2025-12-18 | DIXON    |       707.69 |          0.64
 2025-12-18 | ANANTRAJ |       693.76 |          0.63
 2025-12-18 | RVNL     |       689.80 |          0.62
(20 rows)

