 market_cap_category |   symbol   | direction | consecutive_days | streak_start_date | streak_end_date | avg_daily_change_cr | total_change_cr |      trend_label      
---------------------+------------+-----------+------------------+-------------------+-----------------+---------------------+-----------------+-----------------------
 Large-High          | GODREJCP   | negative  |                9 | 2025-12-09        | 2025-12-19      |                1.48 |          -13.28 | 📉 Continuous Selling
 Large-High          | DRREDDY    | negative  |                8 | 2025-12-09        | 2025-12-18      |                1.53 |          -12.22 | 📉 Continuous Selling
 Large-High          | IOC        | positive  |                7 | 2025-12-09        | 2025-12-17      |               19.89 |          139.20 | 📈 Continuous Buying
 Large-High          | CHOLAFIN   | positive  |                7 | 2025-12-11        | 2025-12-19      |                2.87 |           20.09 | 📈 Continuous Buying
 Large-High          | INDIGO     | positive  |                6 | 2025-12-09        | 2025-12-16      |               18.22 |          109.33 | 📈 Continuous Buying
 Large-High          | GMRAIRPORT | positive  |                6 | 2025-12-12        | 2025-12-19      |                3.24 |           19.45 | 📈 Continuous Buying
 Large-High          | PIDILITIND | negative  |                6 | 2025-12-09        | 2025-12-16      |                0.43 |           -2.55 | 📉 Continuous Selling
 Large-High          | SBILIFE    | negative  |                6 | 2025-12-12        | 2025-12-19      |                1.05 |           -6.32 | 📉 Continuous Selling
 Large-High          | INDHOTEL   | negative  |                6 | 2025-12-09        | 2025-12-16      |                1.32 |           -7.93 | 📉 Continuous Selling
 Large-High          | UNITDSPR   | negative  |                6 | 2025-12-09        | 2025-12-16      |                1.52 |           -9.13 | 📉 Continuous Selling
 Large-Low           | BHEL       | positive  |                6 | 2025-12-12        | 2025-12-19      |                4.13 |           24.78 | 📈 Continuous Buying
 Large-Low           | BAJAJHFL   | negative  |                6 | 2025-12-09        | 2025-12-16      |                3.24 |          -19.47 | 📉 Continuous Selling
 Large-Low           | NAUKRI     | positive  |                5 | 2025-12-15        | 2025-12-19      |                1.31 |            6.57 | 📈 Continuous Buying
 Large-Low           | AUBANK     | negative  |                5 | 2025-12-15        | 2025-12-19      |                0.59 |           -2.94 | 📉 Continuous Selling
 Large-Low           | BHARTIHEXA | negative  |                5 | 2025-12-15        | 2025-12-19      |                0.95 |           -4.73 | 📉 Continuous Selling
 Large-Low           | NHPC       | negative  |                5 | 2025-12-09        | 2025-12-15      |                2.35 |          -11.77 | 📉 Continuous Selling
 Large-Low           | LLOYDSME   | positive  |                4 | 2025-12-15        | 2025-12-18      |               69.66 |          278.65 | 📈 Continuous Buying
 Large-Low           | PAYTM      | positive  |                4 | 2025-12-15        | 2025-12-18      |                4.97 |           19.88 | 📈 Continuous Buying
 Large-Low           | POLICYBZR  | positive  |                4 | 2025-12-12        | 2025-12-17      |                3.40 |           13.60 | 📈 Continuous Buying
