 trade_date | fresh_exposure_cr | liquidated_exposure_cr | net_flow_cr 
------------+-------------------+------------------------+-------------
 2025-12-18 |           2174.76 |                2667.84 |     -493.08
 2025-12-17 |           2739.03 |                2316.99 |      422.05
 2025-12-16 |           2922.14 |                1980.72 |      941.42
 2025-12-15 |           2594.72 |                2400.85 |      193.86
 2025-12-12 |           2531.95 |                3230.60 |     -698.65
 2025-12-11 |           2028.37 |                2364.27 |     -335.90
 2025-12-10 |           2717.46 |                2122.82 |      594.63
 2025-12-09 |           2425.12 |                3093.22 |     -668.10
 2025-12-08 |           3296.03 |                3410.13 |     -114.10
 2025-12-04 |           2514.67 |                2845.60 |     -330.92
 2025-12-03 |           2964.32 |                2693.15 |      271.17
 2025-12-02 |           2867.91 |                2420.84 |      447.07
 2025-12-01 |           3100.03 |                3098.97 |        1.05
 2025-11-28 |           2743.84 |                2638.61 |      105.23
 2025-11-27 |           3303.86 |                2704.73 |      599.13
 2025-11-26 |           2692.16 |                3647.66 |     -955.50
 2025-11-25 |           2461.97 |                2447.07 |       14.90
 2025-11-24 |           2698.32 |                3099.23 |     -400.91
 2025-11-21 |           3292.05 |                2503.12 |      788.93
 2025-11-20 |           3659.18 |                3463.37 |      195.82
 2025-11-18 |           3696.37 |                2499.81 |     1196.57
 2025-11-17 |           4296.49 |                4205.32 |       91.17
 2025-11-14 |           3733.12 |                3440.93 |      292.19
 2025-11-13 |           4417.52 |                3926.28 |      491.24
 2025-11-12 |           4165.33 |                4725.36 |     -560.04
 2025-11-11 |           3448.82 |                3771.17 |     -322.35
 2025-11-10 |           3735.45 |                3624.15 |      111.30
 2025-11-07 |           3263.54 |                3766.89 |     -503.34
 2025-11-06 |           3948.14 |                3348.76 |      599.38
 2025-10-31 |           4337.52 |                3970.98 |      366.55
 2025-10-30 |           4474.13 |                3345.94 |     1128.19
 2025-10-29 |           4262.99 |                4846.91 |     -583.92
 2025-10-28 |           4512.06 |                3681.55 |      830.51
 2025-10-27 |           3652.28 |                4349.65 |     -697.37
 2025-10-24 |           4545.21 |                3040.26 |     1504.95
 2025-10-23 |           4348.01 |                4932.99 |     -584.98
 2025-10-21 |           1464.45 |                1029.26 |      435.19
 2025-10-20 |           3813.97 |                4465.38 |     -651.41
 2025-10-17 |           4657.38 |                4441.62 |      215.76
 2025-10-16 |           4215.83 |                4381.14 |     -165.32
 2025-10-15 |           3763.87 |                4047.68 |     -283.80
 2025-10-14 |           4369.50 |                3009.51 |     1359.99
 2025-10-13 |           3547.51 |                3250.28 |      297.22
 2025-10-10 |           3809.77 |                3911.54 |     -101.77
 2025-10-09 |           3114.70 |                3330.07 |     -215.37
 2025-10-08 |           3743.61 |                2885.89 |      857.72
 2025-10-07 |           3732.69 |                3413.09 |      319.60
 2025-10-06 |           3737.79 |                3314.05 |      423.74
 2025-10-03 |           3554.01 |                3541.36 |       12.65
 2025-10-01 |          10389.43 |                3425.07 |     6964.36
(50 rows)

