 trade_date |   symbol   | market_cap_category | mtf_amount_cr | avg_mtf_cr | stddev_mtf_cr | z_score |       shocker_type        | deviation_from_avg_cr 
------------+------------+---------------------+---------------+------------+---------------+---------+---------------------------+-----------------------
 2025-12-19 | TVSMOTOR   | Large-High          |         57.34 |      64.62 |          2.80 |   -2.60 | High Negative Shocker     |                 -7.28
 2025-12-19 | DIVISLAB   | Large-High          |        122.27 |     135.97 |          5.35 |   -2.56 | High Negative Shocker     |                -13.70
 2025-12-19 | TMCV       | Large-High          |         74.09 |      27.58 |         18.79 |    2.48 | High Positive Shocker     |                 46.51
 2025-12-19 | HCLTECH    | Large-High          |        157.34 |     136.28 |          8.56 |    2.46 | High Positive Shocker     |                 21.06
 2025-12-19 | BANKBARODA | Large-High          |        125.92 |     143.42 |          7.29 |   -2.40 | High Negative Shocker     |                -17.50
 2025-12-19 | SHRIRAMFIN | Large-High          |        143.27 |     154.95 |          5.17 |   -2.26 | High Negative Shocker     |                -11.68
 2025-12-19 | PFC        | Large-High          |        820.97 |     854.19 |         15.33 |   -2.17 | High Negative Shocker     |                -33.22
 2025-12-19 | INFY       | Large-High          |        336.01 |     370.14 |         16.11 |   -2.12 | High Negative Shocker     |                -34.13
 2025-12-19 | MOTHERSON  | Large-High          |         90.14 |      99.96 |          4.66 |   -2.11 | High Negative Shocker     |                 -9.82
 2025-12-19 | TCS        | Large-High          |        845.19 |     915.92 |         33.66 |   -2.10 | High Negative Shocker     |                -70.73
 2025-12-19 | AUROPHARMA | Large-Low           |         57.38 |      60.88 |          1.40 |   -2.50 | High Negative Shocker     |                 -3.50
 2025-12-19 | ENRIN      | Large-Low           |        132.59 |     103.77 |         12.01 |    2.40 | High Positive Shocker     |                 28.82
 2025-12-19 | BHARTIHEXA | Large-Low           |         23.75 |      27.09 |          1.41 |   -2.37 | High Negative Shocker     |                 -3.34
 2025-12-19 | WAAREEENER | Large-Low           |        602.08 |     634.17 |         14.38 |   -2.23 | High Negative Shocker     |                -32.09
