 trade_date |   symbol   | mtf_pct_change 
------------+------------+----------------
 2025-12-18 | LLOYDSME   |          41.57
 2025-12-18 | SILVER1    |          29.39
 2025-12-18 | TMCV       |          22.13
 2025-12-18 | SBISILVER  |          20.45
 2025-12-18 | TATSILV    |          18.52
 2025-12-18 | EFCIL      |          15.11
 2025-12-18 | ASIANTILES |          14.65
 2025-12-18 | SUNPHARMA  |          14.38
 2025-12-18 | PWL        |          14.10
 2025-12-18 | OLAELEC    |          13.57
 2025-12-18 | SHRINGARMS |          12.50
 2025-12-18 | ENRIN      |          12.01
 2025-12-18 | THANGAMAYL |          11.65
 2025-12-18 | BRITANNIA  |          10.69
 2025-12-18 | AWHCL      |          10.64
 2025-12-18 | POWERINDIA |           9.60
 2025-12-18 | SHREECEM   |           8.72
 2025-12-18 | SILVERETF  |           6.97
 2025-12-18 | SILVERIETF |           6.89
 2025-12-18 | KIRLPNU    |           6.47
(20 rows)

