 trade_date | opening_outstanding_cr | closing_outstanding_cr | fresh_exposure_cr | liquidated_exposure_cr | net_flow_cr | market_regime 
------------+------------------------+------------------------+-------------------+------------------------+-------------+---------------
 2025-12-18 |              112542.39 |              112049.31 |           2174.76 |                2667.84 |     -493.08 | NEUTRAL
 2025-12-17 |              112120.35 |              112542.40 |           2739.03 |                2316.99 |      422.05 | NEUTRAL
 2025-12-16 |              111178.94 |              112120.36 |           2922.14 |                1980.72 |      941.42 | RISK_ON
 2025-12-15 |              110985.08 |              111178.94 |           2594.72 |                2400.85 |      193.86 | NEUTRAL
 2025-12-12 |              111694.38 |              110995.73 |           2531.95 |                3230.60 |     -698.65 | RISK_OFF
 2025-12-11 |              112030.28 |              111694.38 |           2028.37 |                2364.27 |     -335.90 | NEUTRAL
 2025-12-10 |              111435.64 |              112030.28 |           2717.46 |                2122.82 |      594.63 | RISK_ON
 2025-12-09 |              112121.22 |              111453.13 |           2425.12 |                3093.22 |     -668.10 | RISK_OFF
 2025-12-08 |              112235.32 |              112121.22 |           3296.03 |                3410.13 |     -114.10 | NEUTRAL
 2025-12-04 |              113275.18 |              112944.25 |           2514.67 |                2845.60 |     -330.92 | NEUTRAL
 2025-12-03 |              113004.00 |              113275.18 |           2964.32 |                2693.15 |      271.17 | NEUTRAL
 2025-12-02 |              112556.93 |              113004.00 |           2867.91 |                2420.84 |      447.07 | NEUTRAL
 2025-12-01 |              112555.94 |              112557.00 |           3100.03 |                3098.97 |        1.05 | NEUTRAL
 2025-11-28 |              112450.77 |              112556.00 |           2743.84 |                2638.61 |      105.23 | NEUTRAL
 2025-11-27 |              111851.65 |              112450.77 |           3303.86 |                2704.73 |      599.13 | RISK_ON
 2025-11-26 |              112807.15 |              111851.65 |           2692.16 |                3647.66 |     -955.50 | RISK_OFF
 2025-11-25 |              112792.26 |              112807.16 |           2461.97 |                2447.07 |       14.90 | NEUTRAL
 2025-11-24 |              113193.17 |              112792.26 |           2698.32 |                3099.23 |     -400.91 | NEUTRAL
 2025-11-21 |              112404.33 |              113193.26 |           3292.05 |                2503.12 |      788.93 | RISK_ON
 2025-11-20 |              112208.52 |              112404.34 |           3659.18 |                3463.37 |      195.82 | NEUTRAL
 2025-11-18 |              111505.65 |              112702.22 |           3696.37 |                2499.81 |     1196.57 | RISK_ON
 2025-11-17 |              111414.65 |              111505.82 |           4296.49 |                4205.32 |       91.17 | NEUTRAL
 2025-11-14 |              111122.47 |              111414.65 |           3733.12 |                3440.93 |      292.19 | NEUTRAL
 2025-11-13 |              110631.23 |              111122.47 |           4417.52 |                3926.28 |      491.24 | NEUTRAL
 2025-11-12 |              111191.27 |              110631.23 |           4165.33 |                4725.36 |     -560.04 | RISK_OFF
 2025-11-11 |              111513.62 |              111191.27 |           3448.82 |                3771.17 |     -322.35 | NEUTRAL
 2025-11-10 |              111402.83 |              111514.13 |           3735.45 |                3624.15 |      111.30 | NEUTRAL
 2025-11-07 |              111931.07 |              111427.73 |           3263.54 |                3766.89 |     -503.34 | RISK_OFF
 2025-11-06 |              111331.69 |              111931.07 |           3948.14 |                3348.76 |      599.38 | RISK_ON
 2025-10-31 |              109626.02 |              109992.57 |           4337.52 |                3970.98 |      366.55 | NEUTRAL
 2025-10-30 |              108498.52 |              109626.71 |           4474.13 |                3345.94 |     1128.19 | RISK_ON
 2025-10-29 |              109082.71 |              108498.79 |           4262.99 |                4846.91 |     -583.92 | RISK_OFF
 2025-10-28 |              108252.32 |              109082.82 |           4512.06 |                3681.55 |      830.51 | RISK_ON
 2025-10-27 |              108951.26 |              108253.90 |           3652.28 |                4349.65 |     -697.37 | RISK_OFF
 2025-10-24 |              107447.38 |              108952.33 |           4545.21 |                3040.26 |     1504.95 | RISK_ON
 2025-10-23 |              108853.42 |              108268.44 |           4348.01 |                4932.99 |     -584.98 | RISK_OFF
 2025-10-21 |              108420.63 |              108855.82 |           1464.45 |                1029.26 |      435.19 | NEUTRAL
 2025-10-20 |              109072.05 |              108420.63 |           3813.97 |                4465.38 |     -651.41 | RISK_OFF
 2025-10-17 |              108856.26 |              109072.01 |           4657.38 |                4441.62 |      215.76 | NEUTRAL
 2025-10-16 |              109052.36 |              108887.04 |           4215.83 |                4381.14 |     -165.32 | NEUTRAL
 2025-10-15 |              109351.50 |              109067.70 |           3763.87 |                4047.68 |     -283.80 | NEUTRAL
 2025-10-14 |              107991.54 |              109351.52 |           4369.50 |                3009.51 |     1359.99 | RISK_ON
 2025-10-13 |              107694.30 |              107991.52 |           3547.51 |                3250.28 |      297.22 | NEUTRAL
 2025-10-10 |              107806.89 |              107705.12 |           3809.77 |                3911.54 |     -101.77 | NEUTRAL
 2025-10-09 |              108022.56 |              107807.19 |           3114.70 |                3330.07 |     -215.37 | NEUTRAL
 2025-10-08 |              107164.88 |              108022.59 |           3743.61 |                2885.89 |      857.72 | RISK_ON
 2025-10-07 |              106845.30 |              107164.90 |           3732.69 |                3413.09 |      319.60 | NEUTRAL
 2025-10-06 |              106421.56 |              106845.30 |           3737.79 |                3314.05 |      423.74 | NEUTRAL
 2025-10-03 |              106408.91 |              106421.56 |           3554.01 |                3541.36 |       12.65 | NEUTRAL
 2025-10-01 |               99444.96 |              106409.32 |          10389.43 |                3425.07 |     6964.36 | RISK_ON
(50 rows)

