 trade_date |   symbol   | mtf_change_cr 
------------+------------+---------------
 2025-12-18 | LLOYDSME   |        150.43
 2025-12-18 | SILVERBEES |         20.65
 2025-12-18 | ENRIN      |         11.91
 2025-12-18 | SHRINGARMS |         11.35
 2025-12-18 | POWERINDIA |         11.13
 2025-12-18 | HBLENGINE  |         10.31
 2025-12-18 | HDFCBANK   |          9.26
 2025-12-18 | SUNPHARMA  |          8.89
 2025-12-18 | PAYTM      |          8.76
 2025-12-18 | OLAELEC    |          8.51
 2025-12-18 | TATSILV    |          8.39
 2025-12-18 | TMCV       |          7.69
 2025-12-18 | GRSE       |          7.04
 2025-12-18 | CANBK      |          6.99
 2025-12-18 | KAYNES     |          6.76
 2025-12-18 | M&M        |          6.49
 2025-12-18 | LT         |          6.29
 2025-12-18 | POWERGRID  |          6.29
 2025-12-18 | SIEMENS    |          6.03
 2025-12-18 | SILVERIETF |          5.68
(20 rows)

