 trade_date |   symbol   | mtf_change_cr 
------------+------------+---------------
 2025-12-18 | TCS        |        -67.78
 2025-12-18 | INDIGO     |        -66.85
 2025-12-18 | HINDCOPPER |        -50.24
 2025-12-18 | RECLTD     |        -49.54
 2025-12-18 | GRANULES   |        -42.45
 2025-12-18 | PFC        |        -32.01
 2025-12-18 | BSE        |        -25.84
 2025-12-18 | EMBDL      |        -24.55
 2025-12-18 | INFY       |        -22.91
 2025-12-18 | COALINDIA  |        -20.35
 2025-12-18 | CIPLA      |        -19.90
 2025-12-18 | KFINTECH   |        -17.38
 2025-12-18 | ULTRACEMCO |        -15.25
 2025-12-18 | HDFCAMC    |        -14.96
 2025-12-18 | HINDZINC   |        -14.70
 2025-12-18 | TECHM      |        -14.09
 2025-12-18 | MCX        |        -13.49
 2025-12-18 | HAL        |        -12.74
 2025-12-18 | IDEA       |        -12.70
 2025-12-18 | MAZDOCK    |        -12.58
(20 rows)

