sebi_report_as_on_reporting_date_04dec2025,unnamed_1,unnamed_2,unnamed_3
Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,11327517.78,
2,Fresh Exposure taken during the day,251467.13,
3,Exposure liquidated during the day,284559.56,
4,Net scripwise outstanding at the end of the day,11294425.35,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,204487,482.94
360ONE,360 ONE WAM LIMITED,280329,3139.32
3IINFOLTD,3I INFOTECH LIMITED,442111,123.83
3MINDIA,3M INDIA LIMITED,6045,1967.22
5PAISA,5PAISA CAPITAL LIMITED,109020,399.75
63MOONS,63 MOONS TECHNOLOGIES LTD,408739,3494.01
AADHARHFC,AADHAR HOUSING FINANCE L,1147139,5793.09
AARON,AARON INDUSTRIES LIMITED,537,1.27
AARTECH,AARTECH SOLONICS LIMITED,875,0.47
AARTIDRUGS,AARTI DRUGS LTD.,724094,3529.50
AARTIIND,AARTI INDUSTRIES LTD,3777535,16381.72
AARTIPHARM,AARTI PHARMALABS LIMITED,407564,3251.87
AARTISURF,AARTI SURFACTANTS LIMITED,3759,18.15
AARVI,AARVI ENCON LIMITED,243,0.34
AAVAS,AAVAS FINANCIERS LIMITED,304853,5184.01
ABAN,ABAN OFFSHORE LTD.,750,0.58
ABB,ABB INDIA LIMITED,470635,26544.74
ABBOTINDIA,ABBOTT INDIA LIMITED,15010,4576.07
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,2661602,7197.95
ABCOTS,A B COTSPIN INDIA LIMITED,52248,218.03
ABDL,ALLIED BLEND N DISTILS L,960182,5233.87
ABFRL,ADITYA BIRLA FASHION & RT,33012848,40262.46
ABGSEC,BIRLASLAMC - ABGSEC,261,0.29
ABINFRA,A B INFRABUILD LIMITED,299000,57.71
ABLBL,ADITYA BIRLA LIFES BRAN L,6406420,9605.82
ABREL,ADITYA BIRLA REAL EST LTD,317980,6483.71
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,499292,3996.06
ABSLBANETF,BIRLASLAMC - ABSLBANETF,15367,8.99
ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,11,0.11
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,165710,126.42
ABSLPSE,BIRLASLAMC-ABSLPSE,209637,21.13
ACC,ACC LIMITED,702463,13488.47
