unnamed_0,unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5,data_revised_for_reporting_date_05dec2025_to_include_late_member_submissions,unnamed_7,unnamed_8,unnamed_9
SEBI REPORT AS ON 05-DEC-2025,,,,,,,,,
,,As on Reporting Date 05-DEC-2025,,,,,,As on Current Date 09-DEC-2025 for reporting date 05-DEC-2025,
,Sr.No.,Particulars,Rs. In Lakhs,,,,Sr.No.,Particulars,Rs. In Lakhs
,1,Scripwise Total Outstanding on the beginning of the day,11294420.20,,,,1,Scripwise Total Outstanding on the beginning of the day,11294420.20
,2,Fresh Exposure taken during the day,253808.00,,,,2,Fresh Exposure taken during the day,253808.00
,3,Exposure liquidated during the day,324695.97,,,,3,Exposure liquidated during the day,324695.97
,4,Net scripwise outstanding at the end of the day,11223532.23,,,,4,Net scripwise outstanding at the end of the day,11223532.23
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs),,,Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,187750,440.38,,,20MICRONS,20 MICRONS LTD,187750,440.38
360ONE,360 ONE WAM LIMITED,273687,3062.33,,,360ONE,360 ONE WAM LIMITED,273687,3062.33
3IINFOLTD,3I INFOTECH LIMITED,441008,123.64,,,3IINFOLTD,3I INFOTECH LIMITED,441008,123.64
3MINDIA,3M INDIA LIMITED,6041,1966.46,,,3MINDIA,3M INDIA LIMITED,6041,1966.46
5PAISA,5PAISA CAPITAL LIMITED,109114,399.85,,,5PAISA,5PAISA CAPITAL LIMITED,109114,399.85
63MOONS,63 MOONS TECHNOLOGIES LTD,410214,3503.64,,,63MOONS,63 MOONS TECHNOLOGIES LTD,410214,3503.64
AADHARHFC,AADHAR HOUSING FINANCE L,1144356,5778.18,,,AADHARHFC,AADHAR HOUSING FINANCE L,1144356,5778.18
AARON,AARON INDUSTRIES LIMITED,437,1.08,,,AARON,AARON INDUSTRIES LIMITED,437,1.08
