sebi_report_as_on_reporting_date_07oct2025,unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5
Sr.No.,Particulars,Rs. In Lakhs,,,
1,Scripwise Total Outstanding on the beginning of the day,10684529.75,,,
2,Fresh Exposure taken during the day,373268.70,,,
3,Exposure liquidated during the day,341308.94,,,
4,Net scripwise outstanding at the end of the day,10716489.50,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs),,
RENUKA,SHREE RENUKA SUGARS LTD,21700796.00,7831.01,,
RTNINDIA,RATTANINDIA ENT LIMITED,16590896.00,9594.26,,
BDL,BHARAT DYNAMICS LIMITED,3838413.00,65609.45,,
PHOENIXLTD,THE PHOENIX MILLS LTD,338770.00,5449.80,,
TNPL,TAMILNADU NEWSPRT & PAPER,664624.00,1145.99,,
SCODATUBES,SCODA TUBES LIMITED,362017.00,696.77,,
GHCLTEXTIL,GHCL TEXTILES LIMITED,107484.00,96.77,,
IKS,INVENTURUS KNOWLEDGE SO L,454837.00,7295.93,,
VIMTALABS,VIMTA LABS LIMITED,396939.00,2967.99,,
JIOFIN,JIO FIN SERVICES LTD,47416681.00,145365.86,,
PTC,PTC INDIA LIMITED,2986759.00,5428.53,,
ASHOKLEY,ASHOK LEYLAND LTD,5802248.00,7707.67,,
JPPOWER,JAIPRAKASH POWER VEN. LTD,73681582.00,15153.88,,
NTPC,NTPC LTD,8258413.00,29334.02,,
INFIBEAM,INFIBEAM AVENUES LIMITED,22562321.00,4250.68,,
NMDC,NMDC LTD.,23311152.00,17170.17,,
VEDL,VEDANTA LIMITED,14107150.00,63507.02,,
CONFIPET,CONFIDENCE PETRO IND LTD.,3472786.00,2180.48,,
WAAREERTL,WAAREE RENEWABLE TECH LTD,489929.00,5408.00,,
APOLLO,APOLLO MICRO SYSTEMS LTD,3199942.00,8317.68,,
BELRISE,BELRISE INDUSTRIES LTD,14370623.00,20937.20,,
SBFC,SBFC FINANCE LIMITED,3098255.00,3369.87,,
SANSTAR,SANSTAR LIMITED,1150638.00,1172.90,,
ASIANPAINT,ASIAN PAINTS LIMITED,851883.00,21145.57,,
FEDERALBNK,FEDERAL BANK LTD,5346134.00,10746.75,,
COALINDIA,COAL INDIA LTD,9934166.00,39452.07,,
SBICARD,SBI CARDS & PAY SER LTD,589467.00,5335.85,,
TATACHEM,TATA CHEMICALS LTD,1218384.00,11753.07,,
IFBIND,IFB INDUSTRIES LTD,267447.00,4278.80,,
ZENTEC,ZEN TECHNOLOGIES LIMITED,848168.00,13809.49,,
TRANSRAILL,TRANSRAIL LIGHTING LTD,2664227.00,19692.77,,
HSCL,HIMADRI SPECIALITY CHEM L,4032328.00,19753.11,,
DATAMATICS,DATAMATICS GLOBAL SER LTD,378772.00,3273.82,,
BAJAJELEC,BAJAJ ELECT.LTD,402318.00,2443.05,,
AVANTIFEED,AVANTI FEEDS LIMITED,1205127.00,8963.37,,
DOLATALGO,DOLAT ALGOTECH LIMITED,655100.00,617.75,,
SUPREMEIND,SUPREME INDUSTRIES LTD,179553.00,7970.78,,
HYUNDAI,HYUNDAI MOTOR INDIA LTD,408796.00,10564.88,,
JSWINFRA,JSW INFRASTRUCTURE LTD,4179432.00,12662.51,,
UCOBANK,UCO BANK,36785762.00,12439.16,,
ZUARI,ZUARI AGRO CHEMICALS LTD,463730.00,1274.22,,
UFO,UFO MOVIEZ INDIA LTD.,88153.00,82.07,,
LYKALABS,LYKA LABS LTD,20875.00,26.64,,
HARIOMPIPE,HARIOM PIPE INDUSTRIES L,491437.00,2632.73,,
PGEL,PG ELECTROPLAST LTD,4208361.00,23298.81,,
SHAKTIPUMP,SHAKTI PUMPS (I) LTD,903507.00,7976.06,,
HCLTECH,HCL TECHNOLOGIES LTD,2243493.00,34585.51,,
EPACK,EPACK DURABLE LIMITED,1337257.00,5117.77,,
BORANA,BORANA WEAVES LIMITED,45470.00,102.47,,
JBMA,JBM AUTO LIMITED,2468353.00,17221.50,,
MOM30IETF,ICICIPRAMC - ICICIMOM30,3003620.00,971.87,,
CPSEETF,CPSE ETF,2946251.00,2737.56,,
ESCORTS,ESCORTS KUBOTA LIMITED,235925.00,8572.39,,
BRITANNIA,BRITANNIA INDUSTRIES LTD,79953.00,4748.27,,
EMAMILTD,EMAMI LIMITED,650980.00,3904.72,,
TITAGARH,TITAGARH RAIL SYSTEMS LTD,2498533.00,23673.39,,
JINDALSTEL,JINDAL STEEL LIMITED,405235.00,4093.07,,
GUJGASLTD,GUJARAT GAS LIMITED,523059.00,2571.19,,
JGCHEM,J.G.CHEMICALS LIMITED,225579.00,1084.25,,
LLOYDSME,LLOYDS METALS N ENERGY L,1363456.00,17845.45,,
RHIM,RHI MAGNESITA INDIA LTD,1090112.00,5490.94,,
BLACKBUCK,BLACKBUCK LIMITED,1313721.00,7685.04,,
SIS,SIS LIMITED,122296.00,448.34,,
PAISALO,PAISALO DIGITAL LIMITED,12756149.00,4884.90,,
SINCLAIR,SINCLAIRS HOTELS LIMITED,42203.00,47.17,,
GLENMARK,GLENMARK PHARMACEUTICALS,299491.00,6051.03,,
UNIMECH,UNIMECH AEROSPACE N MFG L,26394.00,283.82,,
INFRABEES,NIP IND ETF INFRA BEES,37592.00,353.18,,
LEMONTREE,LEMON TREE HOTELS LTD,6323317.00,10444.15,,
MFSL,MAX FINANCIAL SERV LTD,78807.00,1228.17,,
ELGIEQUIP,ELGI EQUIPMENTS LTD,883795.00,4722.50,,
NAZARA,NAZARA TECHNOLOGIES LTD,30974398.00,88698.55,,
LUMAXTECH,LUMAX AUTO TECH LTD,178378.00,1859.32,,
ACC,ACC LIMITED,777013.00,14979.71,,
ACE,ACTION CONST EQUIP LTD,830224.00,9810.32,,
OLECTRA,OLECTRA GREENTECH LIMITED,2030035.00,30946.76,,
SIGACHI,SIGACHI INDUSTRIES LTD,9223589.00,4027.58,,
OAL,ORIENTAL AROMATICS LTD,21361.00,97.48,,
EICHERMOT,EICHER MOTORS LTD,76754.00,4954.77,,
ZYDUSLIFE,ZYDUS LIFESCIENCES LTD,626140.00,6388.54,,
SANGHVIMOV,SANGHVI MOVERS LTD,1241306.00,4177.29,,
TRITURBINE,TRIVENI TURBINE LIMITED,1094241.00,6533.66,,
VENUSPIPES,VENUS PIPES & TUBES LTD,317872.00,4494.74,,
RPEL,RAGHAV PRODUCTIVITY ENH L,85556.00,557.28,,
POWERGRID,POWER GRID CORP. LTD.,5331489.00,15827.47,,
INDHOTEL,THE INDIAN HOTELS CO. LTD,4111867.00,31389.44,,
TOP100CASE,ZERODHAAMC - TOP100CASE,221298.00,23.61,,
FMCGIETF,ICICIPRAMC - ICICIFMCG,3033046.00,1812.39,,
DAMCAPITAL,DAM CAPITAL ADVISORS LTD,1326096.00,3299.29,,
