sebi_report_as_on_reporting_date_08oct2025,unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6
Sr.No.,Particulars,Rs. In Lakhs,,,,
1,Scripwise Total Outstanding on the beginning of the day,10716487.52,,,,
2,Fresh Exposure taken during the day,374360.53,,,,
3,Exposure liquidated during the day,288588.59,,,,
4,Net scripwise outstanding at the end of the day,10802259.45,,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs),,,
HSCL,HIMADRI SPECIALITY CHEM L,4020030.00,19695.53,,,
PRAKASH,PRAKASH INDUSTRIES LTD,3283901.00,5432.73,,,
TITAGARH,TITAGARH RAIL SYSTEMS LTD,2650206.00,25052.94,,,
TEXINFRA,TEXMACO INFRA & HOLDG LTD,717808.00,837.42,,,
JBMA,JBM AUTO LIMITED,2463497.00,17168.80,,,
EPACK,EPACK DURABLE LIMITED,1348910.00,5152.95,,,
RML,RANE (MADRAS) LIMITED,26605.00,233.25,,,
BLUEJET,BLUE JET HEALTHCARE LTD,2586013.00,19297.23,,,
PROZONER,PROZONE REALTY LIMITED,207613.00,113.16,,,
JIOFIN,JIO FIN SERVICES LTD,48063701.00,147340.50,,,
SHRIRAMPPS,SHRIRAM PROPERTIES LTD,5456311.00,5379.51,,,
BELRISE,BELRISE INDUSTRIES LTD,14172712.00,20667.45,,,
TNPL,TAMIL NADU NEWSPRINT,663030.00,1143.42,,,
JPPOWER,JAIPRAKASH POWER VEN. LTD,75118503.00,15407.80,,,
TRANSRAILL,TRANSRAIL LIGHTING LTD,2665818.00,19702.60,,,
OLECTRA,OLECTRA GREENTECH LIMITED,2015177.00,30736.34,,,
VIKRAN,VIKRAN ENGINEERING LTD,428856.00,422.56,,,
SIGACHI,SIGACHI INDUSTRIES LTD,9103010.00,3957.15,,,
ZENTEC,ZEN TECHNOLOGIES LIMITED,855078.00,13895.13,,,
IKS,INVENTURUS KNOWLEDGE SO L,455611.00,7307.21,,,
NV20IETF,ICICI PRUDENTIAL NV20 ETF,831973.00,121.16,,,
HYUNDAI,HYUNDAI MOTOR INDIA LTD,413052.00,10677.80,,,
WAAREERTL,WAAREE RENEWABLE TECH LTD,505720.00,5568.74,,,
ZYDUSLIFE,ZYDUS LIFESCIENCES LTD,623876.00,6359.38,,,
JSWINFRA,JSW INFRASTRUCTURE LTD,4239905.00,12846.20,,,
RPEL,RAGHAV PRODUCTIVITY ENH L,86239.00,562.31,,,
COALINDIA,COAL INDIA LTD,10048207.00,39872.43,,,
APOLLO,APOLLO MICRO SYSTEMS LTD,3174478.00,8248.38,,,
BDL,BHARAT DYNAMICS LIMITED,3920720.00,66813.46,,,
MANALIPETC,MANALI PETROCHEMICALS LT,738130.00,564.20,,,
ATALREAL,ATAL REALTECH LIMITED,1421604.00,309.20,,,
ASHOKLEY,ASHOK LEYLAND -DEP SETT,5990654.00,7975.64,,,
KROSS,KROSS LIMITED,930324.00,1990.02,,,
PGEL,PG ELECTROPLAST LTD,4242182.00,23456.25,,,
UCOBANK,UCO BANK,37266830.00,12583.17,,,
ZUARI,ZUARI AGRO CHEMICALS LTD,466563.00,1281.95,,,
CRIZAC,CRIZAC LIMITED,978422.00,3047.61,,,
TARC,TARC LIMITED,2062234.00,3619.62,,,
VEDL,VEDANTA LIMITED,13705282.00,61708.34,,,
DATAMATICS,DATAMATICS GLOBAL SER LTD,376385.00,3249.11,,,
KIRLPNU,KIRLOSKAR PNEUMATIC COM L,122907.00,1618.61,,,
NMDC,NMDC LTD.,23057577.00,16990.06,,,
POWERGRID,POWER GRID CORP. LTD.,5411263.00,16052.67,,,
PREMEXPLN,PREMIER EXPLOSIVES LTD,911107.00,5410.34,,,
ESCORTS,ESCORTS KUBOTA LIMITED,203849.00,7419.85,,,
FEDERALBNK,FEDERAL BANK LTD,5182809.00,10438.32,,,
NTPC,NTPC LTD,8368902.00,29683.30,,,
PTC,PTC INDIA LIMITED,2969430.00,5397.00,,,
UNIMECH,UNIMECH AEROSPACE N MFG L,27390.00,292.80,,,
LLOYDSME,LLOYDS METALS N ENERGY L,1370360.00,17940.86,,,
PRIVISCL,PRIVI SPECIALITY CHE LTD,443735.00,10439.99,,,
FSL,FIRSTSOURCE SOLUTIONS LIM,2050937.00,7300.18,,,
RTNINDIA,RATTANINDIA ENT LIMITED,16639945.00,9615.59,,,
INDHOTEL,THE INDIAN HOTELS CO. LTD,4136770.00,31567.97,,,
MMTC,MMTC LIMITED,2429571.00,1764.01,,,
KUANTUM,KUANTUM PAPERS LIMITED,309415.00,375.72,,,
POLICYBZR,PB FINTECH LIMITED,364036.00,6579.89,,,
LEMONTREE,LEMON TREE HOTELS LTD,6395757.00,10564.32,,,
BALAJITELE,BALAJI TELEFILMS LTD.,66528.00,85.70,,,
CONFIPET,CONFIDENCE PETRO IND LTD.,3736843.00,2298.03,,,
MEDICO,MEDICO REMEDIES LIMITED,11270.00,4.84,,,
SBFC,SBFC FINANCE LIMITED,3168176.00,3446.31,,,
INFIBEAM,INFIBEAM AVENUES LIMITED,21634660.00,4109.47,,,
ALEMBICLTD,ALEMBIC LIMITED,2522440.00,3045.79,,,
HINDALCO,HINDALCO  INDUSTRIES  LTD,1436383.00,10131.40,,,
OAL,ORIENTAL AROMATICS LTD,20521.00,94.76,,,
RHIM,RHI MAGNESITA INDIA LTD,1203544.00,5990.80,,,
BOMDYEING,BOMBAY DYEING & MFG. CO L,6421806.00,10913.41,,,
BORANA,BORANA WEAVES LIMITED,44004.00,99.18,,,
AFCONS,AFCONS INFRASTRUCTURE LTD,1358262.00,6123.29,,,
SBC,SBC EXPORTS LIMITED,28743724.00,4937.79,,,
LXCHEM,LAXMI ORGANIC INDUS LTD,2865324.00,6495.56,,,
RENUKA,SHREE RENUKA SUGARS LTD,21757750.00,7848.04,,,
BALPHARMA,BAL PHARMA LTD.,150.00,0.13,,,
RESPONIND,RESPONSIVE INDUSTRIES LTD,1992132.00,4562.53,,,
SANSTAR,SANSTAR LIMITED,1143033.00,1165.96,,,
SBICARD,SBI CARDS & PAY SER LTD,533703.00,4860.02,,,
BANKBETF,BFAM - BANKBETF,10741.00,5.98,,,
HDFCNIFIT,HDFCAMC - HDFCNIFIT,378067.00,140.98,,,
VAL30IETF,ICICIPRAMC - VAL30IETF,10488.00,1.41,,,
JUBLCPL,JUBILANT AGRI N CON PRO L,71.00,1.94,,,
MANKIND,MANKIND PHARMA LIMITED,188537.00,4787.55,,,
MOREALTY,MOTILALAMC - MOREALTY,870454.00,798.23,,,
HARIOMPIPE,HARIOM PIPE INDUSTRIES L,485097.00,2600.62,,,
PHOENIXLTD,THE PHOENIX MILLS LTD,334509.00,5385.10,,,
ACC,ACCNPP310899DEPO,763457.00,14723.32,,,
ACE,ACTION CONST EQUIP LTD,831155.00,9816.91,,,
SHAKTIPUMP,SHAKTI PUMPS (I) LTD,938237.00,8251.57,,,
JBCHEPHARM,J B CHEMICALS AND PHARMA,63751.00,1108.72,,,
SUPREMEIND,SUPREME INDUSTRIES LTD,178224.00,7922.83,,,
HCLTECH,HCL TECHNOLOGIES LTD,2172781.00,33569.85,,,
ASIANPAINT,ASIAN PAINTS LIMITED,893460.00,22115.03,,,
FIRSTCRY,BRAINBEES SOLUTIONS LTD,2466826.00,9584.86,,,
AEGISVOPAK,AEGIS VOPAK TERMINALS LTD,373849.00,971.11,,,
VOLTAMP,VOLTAMP TRANSFORMERS LTD,122305.00,10119.42,,,
JINDALSTEL,JINDAL STEEL LIMITED,417614.00,4217.39,,,
PAISALO,PAISALO DIGITAL LIMITED,12711435.00,4864.57,,,
CYIENT,CYIENT LIMITED,787062.00,10321.11,,,
TATACHEM,TATA CHEMICALS LTD,1250669.00,12047.16,,,
EICHERMOT,EICHER MOTORS LTD,88411.00,5771.44,,,
MHRIL,MAHINDRA HOLIDAYS LTD,295305.00,1079.86,,,
TRITURBINE,TRIVENI TURBINE LIMITED,1114796.00,6641.02,,,
SHALBY,SHALBY LIMITED,812432.00,1942.35,,,
AWFIS,AWFIS SPACE SOLUTIONS LTD,798019.00,4883.59,,,
SCILAL,SHIPPING CORP OF ILA LTD,2073468.00,1126.16,,,
POWERINDIA,HITACHI ENERGY INDIA LTD,74707.00,14115.61,,,
DLINKINDIA,D-LINK INDIA LTD,413036.00,2057.02,,,
