sebi_report_as_on_reporting_date_10oct2025,unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7
Sr.No.,Particulars,Rs. In Lakhs,,,,,
1,Scripwise Total Outstanding on the beginning of the day,10780688.86,,,,,
2,Fresh Exposure taken during the day,380976.95,,,,,
3,Exposure liquidated during the day,391153.53,,,,,
4,Net scripwise outstanding at the end of the day,10770512.29,,,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs),,,,
JBMA,JBM AUTO LIMITED,2488946.00,17320.00,,,,
TRANSRAILL,TRANSRAIL LIGHTING LTD,2639889.00,19502.43,,,,
SUPREMEIND,SUPREME INDUSTRIES LTD,173237.00,7706.37,,,,
BDL,BHARAT DYNAMICS LIMITED,3905125.00,66507.53,,,,
CYIENT,CYIENT LIMITED,792609.00,10379.56,,,,
ACE,ACTION CONST EQUIP LTD,833135.00,9831.11,,,,
POWERGRID,POWER GRID CORP. LTD.,5218493.00,15496.39,,,,
TVSHLTD,TVS HOLDINGS LIMITED,15190.00,1828.23,,,,
JIOFIN,JIO FIN SERVICES LTD,47609125.00,145987.61,,,,
ASHOKLEY,ASHOK LEYLAND -DEP SETT,6485513.00,8662.08,,,,
INFIBEAM,INFIBEAM AVENUES LIMITED,21622133.00,4132.30,,,,
LXCHEM,LAXMI ORGANIC INDUS LTD,2876347.00,6497.33,,,,
PGEL,PG ELECTROPLAST LTD,3176301.00,17637.78,,,,
PHOENIXLTD,THE PHOENIX MILLS LTD,339660.00,5476.24,,,,
ROUTE,ROUTE MOBILE LIMITED,878103.00,8949.34,,,,
TIRUMALCHM,THIRUMALAI CHEMICALS LTD.,1491407.00,4418.28,,,,
TRITURBINE,TRIVENI TURBINE LIMITED,1109396.00,6600.31,,,,
SHRIRAMPPS,SHRIRAM PROPERTIES LTD,5392078.00,5296.90,,,,
HCLTECH,HCL TECHNOLOGIES LTD,1944963.00,30184.34,,,,
OLECTRA,OLECTRA GREENTECH LIMITED,2047566.00,31214.18,,,,
JBCHEPHARM,JBCHEPHARM,65277.00,1134.10,,,,
NMDC,NMDC LTD.,25002213.00,18544.78,,,,
COALINDIA,COAL INDIA LTD,9995292.00,39649.60,,,,
COROMANDEL,COROMANDEL INTERNTL. LTD,234462.00,5524.10,,,,
POLICYBZR,PB FINTECH LIMITED,361170.00,6544.78,,,,
ZYDUSLIFE,ZYDUS LIFESCIENCES LTD,625830.00,6383.77,,,,
VEDL,VEDANTA LIMITED,12823224.00,57760.91,,,,
BLACKBUCK,BLACKBUCK LIMITED,922015.00,5520.24,,,,
PTC,PTC INDIA LIMITED,2996687.00,5435.31,,,,
BOMDYEING,BOM DYEING - DEPO SETT.,6385489.00,10849.28,,,,
ASIANPAINT,ASIAN PAINTS LIMITED,894837.00,22124.97,,,,
BAJAJELEC,BAJAJ ELECT.LTD,399688.00,2422.00,,,,
AFCONS,AFCONS INFRASTRUCTURE LTD,1366874.00,6180.22,,,,
JSWINFRA,JSW INFRASTRUCTURE LTD,4256139.00,12884.13,,,,
JPPOWER,JAIPRAKASH POWER VEN. LT,75429998.00,15436.28,,,,
FSL,FIRSTSOURCE SOLU. LTD.,1987402.00,7087.83,,,,
HSCL,HIMADRI SPECIALITY CHEM L,4077233.00,19940.22,,,,
MANKIND,MANKIND PHARMA LIMITED,189706.00,4815.49,,,,
EICHERMOT,EICHER MOTORS LTD,84014.00,5472.84,,,,
HYUNDAI,HYUNDAI MOTOR INDIA LTD,468217.00,11981.29,,,,
JINDALSTEL,JINDAL STEEL LIMITED,459084.00,4636.84,,,,
TITAGARH,TITAGARH RAIL SYSTEMS LTD,2655884.00,25094.68,,,,
PAISALO,PAISALO DIGITAL LIMITED,12060592.00,4623.80,,,,
FEDERALBNK,FEDERAL BANK LTD-DEP SET,4833484.00,9807.14,,,,
NTPC,8.41%S-R-NCD SERIES 1A,8148002.00,28887.83,,,,
DATAMATICS,DATAMATICS GLOBAL SER.LTD,388672.00,3358.02,,,,
LEMONTREE,LEMON TREE HOTELS LTD,6776823.00,11194.85,,,,
INDHOTEL,THE INDIAN HOTELS CO. LTD,4096720.00,31268.71,,,,
ACC,ACCNPP310899DEPO,731874.00,14138.94,,,,
BAYERCROP,BAYER CROPSCIENCE LTD,66506.00,3551.97,,,,
SBICARD,SBI CARDS & PAY SER LTD,529390.00,4825.68,,,,
MHRIL,MAHINDRA HOLIDAYS LTD,295237.00,1078.92,,,,
AVANTIFEED,AVANTI FEEDS LIMITED,1202892.00,8911.69,,,,
PRAKASH,PRAKASH INDUSTRIES LTD,3320841.00,5489.38,,,,
EPACK,EPACK DURABLE LIMITED,1324108.00,5058.64,,,,
NAZARA,NAZARA TECHNOLOGIES LTD,30972962.00,88663.68,,,,
VENUSPIPES,VENUS PIPES & TUBES LTD,319709.00,4516.93,,,,
KIMS,KRISHNA INST OF MED SCI L,573687.00,4100.78,,,,
PAGEIND,PAGE INDUSTRIES LTD,10967.00,4844.30,,,,
RTNINDIA,RATTANINDIA ENT LIMITED,16604143.00,9588.05,,,,
RENUKA,SHREE RENUKA SUGARS LIMIT,21633193.00,7803.22,,,,
LALPATHLAB,DR. LAL PATH LABS LTD.,96258.00,3084.67,,,,
APOLLO,APOLLO MICRO SYSTEMS LTD,3207193.00,8359.04,,,,
TATACHEM,TATA CHEMICALS LTD,1266613.00,12168.34,,,,
BELRISE,BELRISE INDUSTRIES LTD,14702602.00,21512.28,,,,
EMAMILTD,EMAMI LIMITED,715161.00,4249.42,,,,
GUJGASLTD,GUJARAT GAS LIMITED,538172.00,2631.67,,,,
HINDALCO,HINDALCO INDUSTRIES LTD,1523155.00,10809.64,,,,
ALEMBICLTD,ALEMBIC LIMITED,2483545.00,3001.90,,,,
EPIGRAL,EPIGRAL LIMITED,264321.00,4716.93,,,,
UCOBANK,UCO BANK,36255026.00,12278.95,,,,
RHIM,RHI MAGNESITA INDIA LTD,1249861.00,6185.38,,,,
DAMCAPITAL,DAM CAPITAL ADVISORS LTD,1415184.00,3524.84,,,,
ZENTEC,ZEN TECHNOLOGIES LIMITED,880664.00,14232.23,,,,
WAAREERTL,WAAREE RENEWABLE TECH LTD,571179.00,6337.20,,,,
GEOJITFSL,GEOJIT FINANCIAL SER L,1572344.00,1322.38,,,,
POWERINDIA,HITACHI ENERGY INDIA LTD,76648.00,14433.83,,,,
SBFC,SBFC FINANCE LIMITED,3161220.00,3437.98,,,,
BRITANNIA,BRITANNIA INDUSTRIES LTD,83834.00,4969.74,,,,
LLOYDSME,LLOYDS METALS N ENERGY L,1426818.00,18752.18,,,,
KSCL,KAVERI SEED CO. LTD.,338581.00,4049.35,,,,
FMCGIETF,ICICIPRAMC - ICICIFMCG,3352950.00,1998.04,,,,
VOLTAMP,VOLTAMP TRANSFORMERS LTD,122236.00,10112.78,,,,
MANALIPETC,MANALI PETROCHEMICALS LT,669167.00,521.49,,,,
MFSL,MAX FINANCIAL SERV LTD,85119.00,1336.37,,,,
SPIC,SPIC LTD,3200127.00,3286.39,,,,
JTEKTINDIA,JTEKT INDIA LIMITED,501019.00,880.31,,,,
ELGIEQUIP,ELGI EQUIPMENTS LTD,903309.00,4813.88,,,,
VIKRAN,VIKRAN ENGINEERING LTD,788110.00,803.84,,,,
SUNDARMFIN,SUNDARAM FINANCE LTD,47658.00,2223.66,,,,
FIRSTCRY,BRAINBEES SOLUTIONS LTD,2404280.00,9322.34,,,,
TATSILV,TATAAML-TATSILV,19573763.00,3041.38,,,,
SANGHVIMOV,SANGHVI MOVERS LTD.,1230631.00,4148.06,,,,
PRIVISCL,PRIVI SPECIALITY CHE LTD,446878.00,10523.21,,,,
UNIMECH,UNIMECH AEROSPACE N MFG L,27765.00,295.78,,,,
AWFIS,AWFIS SPACE SOLUTIONS LTD,793234.00,4854.90,,,,
RPTECH,RASHI PERIPHERALS LIMITED,294658.00,975.09,,,,
DAVANGERE,DAVANGERE SUGAR COMPANY L,5820720.00,231.87,,,,
SERVOTECH,SERVOTECH REN POW SYS LTD,572915.00,791.95,,,,
LUMAXTECH,LUMAX AUTO TECH LTD,171920.00,1767.78,,,,
SIGACHI,SIGACHI INDUSTRIES LTD,9005782.00,3912.75,,,,
HIRECT,HIND RECTIFIER LIMITED,38578.00,628.27,,,,
AEGISVOPAK,AEGIS VOPAK TERMINALS LTD,359275.00,932.29,,,,
CONFIPET,CONFIDENCE PETRO IND LTD.,3960545.00,2389.47,,,,
SHAKTIPUMP,SHAKTI PUMPS (I) LTD,940688.00,8262.22,,,,
OMINFRAL,OM INFRA LIMITED,459499.00,540.44,,,,
