sebi_report_as_on_reporting_date_11nov2025,unnamed_1,unnamed_2,unnamed_3
Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,11151362.26,
2,Fresh Exposure taken during the day,344881.75,
3,Exposure liquidated during the day,377117.24,
4,Net scripwise outstanding at the end of the day,11119126.78,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,255723,600.12
360ONE,360 ONE WAM LIMITED,353351,3933.12
3IINFOLTD,3I INFOTECH LIMITED,446408,144.53
3MINDIA,3M INDIA LIMITED,5288,1682.27
5PAISA,5PAISA CAPITAL LIMITED,69720,256.86
63MOONS,63 MOONS TECHNOLOGIES LTD,340781,2901.25
AADHARHFC,AADHAR HOUSING FINANCE L,1101630,5596.85
AARON,AARON INDUSTRIES LIMITED,220,0.68
AARTECH,AARTECH SOLONICS LIMITED,875,0.47
AARTIDRUGS,AARTI DRUGS LTD.,649457,3257.43
AARTIIND,AARTI INDUSTRIES LTD,3846409,16824.79
AARTIPHARM,AARTI PHARMALABS LIMITED,393499,3245.16
AARTISURF,AARTI SURFACTANTS LIMITED,3127,15.36
AARVI,AARVI ENCON LIMITED,133,0.16
AAVAS,AAVAS FINANCIERS LIMITED,278211,4886.31
ABAN,ABAN OFFSHORE LTD.,750,0.58
ABB,ABB INDIA LIMITED,538712,30204.68
ABBOTINDIA,ABBOTT INDIA LIMITED,15351,4710.98
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,3407956,9194.17
ABCOTS,A B COTSPIN INDIA LIMITED,9542,40.20
ABDL,ALLIED BLEND N DISTILS L,910704,4839.56
ABFRL,ADITYA BIRLA FASHION & RT,32614979,40106.34
ABGSEC,BIRLASLAMC - ABGSEC,261,0.29
ABLBL,ADITYA BIRLA LIFES BRAN L,7173128,10682.22
ABREL,ADITYA BIRLA REAL EST LTD,312279,6434.35
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,476487,3889.32
ABSLBANETF,BIRLASLAMC - ABSLBANETF,10611,6.06
ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,11,0.11
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,164313,125.40
ABSLPSE,BIRLASLAMC-ABSLPSE,206975,21.10
ACC,ACC LIMITED,769348,14824.71
ACCELYA,ACCELYA SOLN INDIA LTD,307463,4470.24
ACE,ACTION CONST EQUIP LTD,708972,8330.94
ACI,ARCHEAN CHEMICAL IND LTD,329280,2157.13
ACL,ANDHRA CEMENTS LIMITED,62,0.04
ACLGATI,ALLCARGO GATI LIMITED,99980,78.40
ACMESOLAR,ACME SOLAR HOLDINGS LTD,2713216,7765.77
ACUTAAS,ACUTAAS CHEMICALS LIMITED,365803,5560.48
ADANIENSOL,ADANI ENERGY SOLUTION LTD,1217449,10761.81
ADANIENT,ADANI ENTERPRISES LIMITED,1260632,32166.93
ADANIGREEN,ADANI GREEN ENERGY LTD,2453293,26214.73
ADANIPORTS,ADANI PORT & SEZ LTD,1804328,25296.06
ADANIPOWER,ADANI POWER LTD,30377129,46045.13
ADFFOODS,ADF FOODS LIMITED,757390,1957.02
ADOR,ADOR WELDING LTD,52937,596.22
ADSL,ALLIED DIGITAL SERV. LTD,341392,665.20
ADVANCE,ADVANCE AGROLIFE LIMITED,167657,228.75
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,32869,21.01
ADVENZYMES,ADVANCED ENZYME TECH LTD,724602,2528.26
AEGISLOG,AEGIS LOGISTICS LIMITED,1027225,8226.97
AEGISVOPAK,AEGIS VOPAK TERMINALS LTD,367025,981.41
AEROENTER,AEROFLEX ENTERPRISES LTD,881591,892.55
AEROFLEX,AEROFLEX INDUSTRIES LTD,2402771,4601.50
AETHER,AETHER INDUSTRIES LIMITED,457066,3504.61
AFCONS,AFCONS INFRASTRUCTURE LTD,1416896,6382.87
AFFLE,AFFLE 3I LIMITED,265901,5039.76
AFFORDABLE,AFFORD ROBO & AUTO LTD,10348,28.66
AFIL,AKME FINTRADE (INDIA) LTD,12488140,966.67
AFSL,ABANS FINANCIAL SRVCS LTD,28642,67.97
AGARIND,AGARWAL INDS CORP LTD.,46171,458.51
AGARWALEYE,DR AGARWALS HEALTH CARE L,129887,637.39
AGI,AGI GREENPAC LIMITED,518753,4493.61
AGIIL,AGI INFRA LIMITED,2016939,4226.99
AGRITECH,AGRI-TECH (INDIA) LIMITED,2549,4.82
AGSTRA,AGS TRANSACT TECH LTD,797,0.58
AHLADA,AHLADA ENGINEERS LIMITED,5737,5.37
AHLEAST,ASIAN HOTELS (EAST) LTD,1201,1.84
AHLUCONT,AHLUWALIA CONT IND LTD,289304,2908.66
AIAENG,AIA ENGINEERING LIMITED,61305,2083.76
AIIL,AUTHUM INVEST & INFRA LTD,91788,2652.69
AIRAN,AIRAN LIMITED,79659,22.41
AJANTPHARM,AJANTA PHARMA LIMITED,64813,1743.86
AJAXENGG,AJAX ENGINEERING LIMITED,159347,1037.67
AJMERA,AJMERA REALTY & INF I LTD,172697,1668.85
AJOONI,AJOONI BIOTECH LIMITED,7049,0.40
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,250,0.77
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,1052,0.08
AKUMS,AKUMS DRUGS AND PHARMA L,432471,2198.40
AKZOINDIA,AKZO NOBEL INDIA LIMITED,26775,947.45
ALANKIT,ALANKIT LIMITED,208883,30.16
ALBERTDAVD,ALBERT DAVID LIMITED,3775,30.81
