sebi_report_as_on_reporting_date_23oct2025,unnamed_1,unnamed_2,unnamed_3
Sr.No.,Particulars,Rs. In Lakhs,
1,Scripwise Total Outstanding on the beginning of the day,10885342.42,
2,Fresh Exposure taken during the day,434800.76,
3,Exposure liquidated during the day,493299.23,
4,Net scripwise outstanding at the end of the day,10826843.94,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,200144,491.52
360ONE,360 ONE WAM LIMITED,368488,4021.00
3IINFOLTD,3I INFOTECH LIMITED,449763,147.61
3MINDIA,3M INDIA LIMITED,8365,2531.49
500245,KIRLOSKAR FERROUS INDUSTRIES L,2,0.01
5PAISA,5PAISA CAPITAL LIMITED,71907,273.82
63MOONS,63 MOONS TECHNOLOGIES LTD,321431,2837.77
AAATECH,AAA TECHNOLOGIES LIMITED,3250,4.16
AADHARHFC,AADHAR HOUSING FINANCE L,1037903,5283.05
AARON,AARON INDUSTRIES LIMITED,895,2.14
AARTECH,AARTECH SOLONICS LIMITED,275,0.15
AARTIDRUGS,AARTI DRUGS LTD.,364768,1873.56
AARTIIND,AARTI INDUSTRIES LTD,3901078,17120.98
AARTIPHARM,AARTI PHARMALABS LIMITED,330586,2817.55
AARTISURF,AARTI SURFACTANTS LIMITED,2269,11.10
AARVI,AARVI ENCON LIMITED,133,0.16
AAVAS,AAVAS FINANCIERS LIMITED,267735,4756.91
ABAN,ABAN OFFSHORE LTD.,750,0.58
ABB,ABB INDIA LIMITED,510186,28944.72
ABBOTINDIA,ABBOTT INDIA LIMITED,11667,3657.32
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,3369251,8434.56
ABDL,ALLIED BLEND N DISTILS L,725828,3514.66
ABFRL,ADITYA BIRLA FASHION & RT,31804156,39693.83
ABGSEC,BIRLASLAMC - ABGSEC,261,0.29
ABINFRA,A B INFRABUILD LIMITED,2200,0.44
ABLBL,ADITYA BIRLA LIFES BRAN L,7545525,11298.68
ABREL,ADITYA BIRLA REAL EST LTD,376779,7593.13
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,360746,3018.42
ABSLBANETF,BIRLASLAMC - ABSLBANETF,6572,3.63
ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,11,0.11
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,172850,131.41
ABSLPSE,BIRLASLAMC-ABSLPSE,103178,10.36
ACC,ACC LIMITED,740489,14269.14
ACCELYA,ACCELYA SOLN INDIA LTD,315878,4611.08
ACE,ACTION CONST EQUIP LTD,800001,9452.46
ACI,ARCHEAN CHEMICAL IND LTD,314958,2074.70
ACL,ANDHRA CEMENTS LIMITED,62,0.04
ACLGATI,ALLCARGO GATI LIMITED,1135402,833.82
ACMESOLAR,ACME SOLAR HOLDINGS LTD,2092664,6144.68
ACUTAAS,ACUTAAS CHEMICALS LIMITED,370872,5424.40
ADANIENSOL,ADANI ENERGY SOLUTION LTD,1300259,11385.33
ADANIENT,ADANI ENTERPRISES LIMITED,919746,24033.73
ADANIGREEN,ADANI GREEN ENERGY LTD,2650011,28094.84
ADANIPORTS,ADANI PORT & SEZ LTD,1673599,23344.12
ADANIPOWER,ADANI POWER LTD,23921825,35496.89
ADFFOODS,ADF FOODS LIMITED,795917,2054.06
ADOR,ADOR WELDING LTD,83297,976.18
ADSL,ALLIED DIGITAL SERV. LTD,367842,724.26
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,36233,23.41
ADVENZYMES,ADVANCED ENZYME TECH LTD,695997,2443.71
AEGISLOG,AEGIS LOGISTICS LIMITED,922148,7450.18
AEGISVOPAK,AEGIS VOPAK TERMINALS LTD,374413,988.64
AEROENTER,AEROFLEX ENTERPRISES LTD,990747,1003.90
AEROFLEX,AEROFLEX INDUSTRIES LTD,2467319,4702.85
AETHER,AETHER INDUSTRIES LIMITED,468958,3596.54
AFCONS,AFCONS INFRASTRUCTURE LTD,1416217,6400.99
AFFLE,AFFLE 3I LIMITED,222839,4296.07
AFFORDABLE,AFFORD ROBO & AUTO LTD,9445,26.98
AFIL,AKME FINTRADE (INDIA) LTD,12897280,1001.69
AFSL,ABANS FINANCIAL SRVCS LTD,29207,70.61
AGARIND,AGARWAL INDS CORP LTD.,45682,456.29
AGARWALEYE,DR AGARWALS HEALTH CARE L,131416,638.50
AGI,AGI GREENPAC LIMITED,459495,4015.57
AGIIL,AGI INFRA LIMITED,2021791,4212.52
AGRITECH,AGRI-TECH (INDIA) LIMITED,2749,5.14
AGSTRA,AGS TRANSACT TECH LTD,3262,3.15
AHLADA,AHLADA ENGINEERS LIMITED,5767,5.39
AHLEAST,ASIAN HOTELS (EAST) LTD,1201,1.84
AHLUCONT,AHLUWALIA CONT IND LTD,284185,2873.13
AIAENG,AIA ENGINEERING LIMITED,85487,2854.25
AIIL,AUTHUM INVEST & INFRA LTD,80110,2312.63
AIRAN,AIRAN LIMITED,87938,24.51
AJANTPHARM,AJANTA PHARMA LIMITED,84337,2230.67
AJAXENGG,AJAX ENGINEERING LIMITED,143524,950.79
AJMERA,AJMERA REALTY & INF I LTD,216101,2090.65
AJOONI,AJOONI BIOTECH LIMITED,7000,0.40
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,250,0.77
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,1000,0.07
AKUMS,AKUMS DRUGS AND PHARMA L,420343,2181.94
AKZOINDIA,AKZO NOBEL INDIA LIMITED,28080,997.98
ALANKIT,ALANKIT LIMITED,269478,38.32
ALBERTDAVD,ALBERT DAVID LIMITED,3916,32.25
ALEMBICLTD,ALEMBIC LIMITED,2378631,2818.30
ALICON,ALICON CASTALLOY LIMITED,7600,80.04
ALIVUS,ALIVUS LIFE SCIENCES LTD,216475,2235.45
ALKALI,ALKALI METALS LTD,880,0.84
ALKEM,ALKEM LABORATORIES LTD.,22671,1243.43
ALKYLAMINE,ALKYL AMINES CHEM. LTD,171752,3563.55
ALLCARGO,ALLCARGO LOGISTICS LTD,13415314,5055.22
ALLDIGI,ALLDIGI TECH LIMITED,32922,256.71
ALLTIME,ALL TIME PLASTICS LIMITED,156770,445.19
ALMONDZ,ALMONDZ GLOBAL SEC LTD,11285,2.46
ALOKINDS,ALOK INDUSTRIES LIMITED,14983735,2931.44
ALPA,ALPA LABORATORIES LTD,2698,2.97
ALPHA,KOTAKMAMC - KOTAKALPHA,4711527,2328.17
ALPHAETF,MIRAEAMC - ALPHAETF,1745505,441.99
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,13743,36.49
ALPL30IETF,ICICIPRAMC - ICICIALPLV,801511,228.46
AMANTA,AMANTA HEALTHCARE LIMITED,18394,24.13
AMBER,AMBER ENTERPRISES (I) LTD,160234,12701.95
AMBIKCO,AMBIKA COTTON MILL LTD.,14574,221.92
AMBUJACEM,AMBUJA CEMENTS LTD,2202142,12822.11
AMJLAND,AMJ LAND HOLDINGS LIMITED,200,0.12
AMNPLST,AMINES & PLASTICIZERS LTD,2258,6.73
AMRUTANJAN,AMRUTAJAN HEALTH LTD,40914,308.42
ANANDRATHI,ANAND RATHI WEALTH LTD,146507,4306.66
ANANTRAJ,ANANT RAJ LIMITED,10072359,66398.41
ANDHRAPAP,ANDHRA PAPER LIMITED,598141,501.87
ANDHRSUGAR,ANDHRA SUGARS LTD,460347,492.98
ANDREWYU,ANDREW YULE & CO LTD,3900,1.04
ANGELONE,ANGEL ONE LIMITED,881535,23749.59
ANTELOPUS,ANTELOPUS SELAN ENRGY LTD,115350,742.72
ANTHEM,ANTHEM BIOSCIENCES LTD,278674,2182.17
ANUHPHR,ANUH PHARMA LIMITED,34978,32.24
ANUP,THE ANUP ENGINEERING LTD,86307,2252.93
ANURAS,ANUPAM RASAYAN INDIA LTD,3817765,37403.80
AONEGOLD,AONEAMC - AONEGOLD,255344,30.07
AONELIQUID,AONEAMC - AONELIQUID,9,0.09
AONENIFTY,AONEAMC - AONENIFTY,39543,4.03
AONETOTAL,AONEAMC - AONETOTAL,104891,12.32
APARINDS,APAR INDUSTRIES LTD.,74300,6189.12
APCOTEXIND,APCOTEX INDUSTRIES LIMITE,29213,122.58
APEX,APEX FROZEN FOODS LIMITED,183940,450.81
APLAPOLLO,APL APOLLO TUBES LTD,262808,4485.94
APLLTD,ALEMBIC PHARMA LTD,208579,2122.76
APOLLO,APOLLO MICRO SYSTEMS LTD,3022527,7835.70
APOLLOHOSP,APOLLO HOSPITALS ENTER. L,54691,4150.18
APOLLOPIPE,APOLLO PIPES LIMITED,402247,1709.15
APOLLOTYRE,APOLLO TYRES LTD,781483,3853.38
APOLSINHOT,APOLLO SINDOORI HOTEL LTD,202,3.47
APTECHT,APTECH LIMITED,121521,167.35
APTUS,APTUS VALUE HSG FIN I LTD,1951173,6351.63
ARCHIDPLY,ARCHIDPLY IND. LTD,1600,1.65
ARE&M,AMARA RAJA ENERGY MOB LTD,1494444,15921.33
ARIES,ARIES AGRO LTD.,102664,406.63
ARIHANTCAP,ARIHANT CAPITAL MKTS LTD,397546,423.37
ARIHANTSUP,ARIHANT SUPERSTRUCT LTD,173047,734.00
ARISINFRA,ARISINFRA SOLUTIONS LTD,567061,910.84
ARKADE,ARKADE DEVELOPERS LIMITED,2952586,5310.69
ARMANFIN,ARMAN FIN SERV LTD,76731,1228.06
