SEBI REPORT AS ON Reporting date 01-JAN-2026,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,11389863.57,
2,Fresh Exposure taken during the day,362744.16,
3,Exposure liquidated during the day,298233.81,
4,Net scripwise outstanding at the end of the day,11454373.92,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,185867,430.73
360ONE,360 ONE WAM LIMITED,232766,2678.30
3IINFOLTD,3I INFOTECH LIMITED,391774,112.92
3MINDIA,3M INDIA LIMITED,5478,1793.44
519397,SHARAT INDUSTRIES LTD.,7394,10.03
5PAISA,5PAISA CAPITAL LIMITED,143564,512.10
63MOONS,63 MOONS TECHNOLOGIES LTD,378825,3181.42
AADHARHFC,AADHAR HOUSING FINANCE L,1039995,5231.78
AARON,AARON INDUSTRIES LIMITED,1137,2.34
AARTECH,AARTECH SOLONICS LIMITED,875,0.47
AARTIDRUGS,AARTI DRUGS LTD.,705638,3398.91
AARTIIND,AARTI INDUSTRIES LTD,3680561,15775.79
AARTIPHARM,AARTI PHARMALABS LIMITED,432037,3412.93
AARTISURF,AARTI SURFACTANTS LIMITED,3757,17.53
AARVI,AARVI ENCON LIMITED,293,0.40
AAVAS,AAVAS FINANCIERS LIMITED,300128,5044.59
ABAN,ABAN OFFSHORE LTD.,750,0.58
ABB,ABB INDIA LIMITED,421089,23544.41
ABBOTINDIA,ABBOTT INDIA LIMITED,14232,4287.50
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,2778742,7949.38
ABCOTS,A B COTSPIN INDIA LIMITED,61269,254.15
ABDL,ALLIED BLEND N DISTILS L,1004475,5518.60
ABFRL,ADITYA BIRLA FASHION & RT,32555808,38417.19
ABGSEC,BIRLASLAMC - ABGSEC,286,0.32
ABLBL,ADITYA BIRLA LIFES BRAN L,7930111,11438.58
ABREL,ADITYA BIRLA REAL EST LTD,341900,6751.33
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,416617,3353.32
ABSLBANETF,BIRLASLAMC - ABSLBANETF,9954,5.80
ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,11,0.11
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,169041,128.83
ABSLPSE,BIRLASLAMC-ABSLPSE,349120,35.22
ACC,ACC LIMITED,820997,15410.67
ACCELYA,ACCELYA SOLN INDIA LTD,100044,1512.69
ACCURACY,ACCURACY SHIPPING LIMITED,293,0.02
ACE,ACTION CONST EQUIP LTD,731570,8158.04
ACI,ARCHEAN CHEMICAL IND LTD,400414,2478.12
ACLGATI,ALLCARGO GATI LIMITED,54976,35.52
ACMESOLAR,ACME SOLAR HOLDINGS LTD,2410585,6590.58
ACUTAAS,ACUTAAS CHEMICALS LIMITED,539522,8635.14
ADANIENSOL,ADANI ENERGY SOLUTION LTD,1256944,11466.40
ADANIENT,ADANI ENTERPRISES LIMITED,1758183,42997.48
ADANIGREEN,ADANI GREEN ENERGY LTD,2695610,28516.28
ADANIPORTS,ADANI PORT & SEZ LTD,1752211,25193.11
ADANIPOWER,ADANI POWER LTD,32368372,47974.02
ADFFOODS,ADF FOODS LIMITED,750863,1920.30
ADOR,ADOR WELDING LTD,33270,366.97
ADSL,ALLIED DIGITAL SERV. LTD,302258,565.11
ADVANCE,ADVANCE AGROLIFE LIMITED,545298,726.65
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,27884,17.68
ADVENTHTL,ADVENT HOTELS INTERNATI L,9194,20.66
ADVENZYMES,ADVANCED ENZYME TECH LTD,661897,2284.47
AEGISLOG,AEGIS LOGISTICS LIMITED,1167831,9217.11
AEGISVOPAK,AEGIS VOPAK TERMINALS LTD,673787,1757.89
AEQUS,AEQUS LIMITED,11576,16.13
AEROENTER,AEROFLEX ENTERPRISES LTD,878481,876.00
AEROFLEX,AEROFLEX INDUSTRIES LTD,2358374,4556.38
AETHER,AETHER INDUSTRIES LIMITED,307580,2449.18
AFCONS,AFCONS INFRASTRUCTURE LTD,926151,3993.46
AFFLE,AFFLE 3I LIMITED,263699,4867.40
