SEBI REPORT AS ON Reporting date 01-OCT-2025,,,,,,
,,,,,,
,,,,,,
Sr.No.,Particulars,Rs. In Lakhs ,,,,
1,Scripwise Total Outstanding on the beginning of the day,9944495.80,,,,
2,Fresh Exposure taken during the day,1038942.82,,,,
3,Exposure liquidated during the day,342506.99,,,,
4,Net scripwise outstanding at the end of the day,10640931.62,,,,
,,,,,,
,,,,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs),,,
JPPOWER,JAIPRAKASH POWER VEN. LTD,76066037.00,15644.62,,,
JBMA,JBM AUTO LIMITED,2443727.00,17076.56,,,
JSWINFRA,JSW INFRASTRUCTURE LTD,3928847.00,11898.44,,,
AFCONS,AFCONS INFRASTRUCTURE LTD,1365603.00,6152.48,,,
OMINFRAL,OM INFRA LIMITED,451314.00,529.88,,,
PGEL,PG ELECTROPLAST LTD,3965266.00,22091.64,,,
VHL,VARDHMAN HOLDINGS LIMITED,378.00,17.64,,,
TRANSRAILL,TRANSRAIL LIGHTING LTD,2780257.00,20618.25,,,
HCLTECH,HCL TECHNOLOGIES LTD,2295306.00,35389.55,,,
JIOFIN,JIO FIN SERVICES LTD,48108587.00,147413.29,,,
RTNINDIA,RATTANINDIA ENT LIMITED,16664149.00,9731.09,,,
PTC,PTC INDIA LIMITED,2994725.00,5453.47,,,
SPIC,SPIC LTD,2830738.00,2949.71,,,
BOMDYEING,BOMBAY DYEING & MFG. CO L,6572399.00,11145.18,,,
LEMONTREE,LEMON TREE HOTELS LTD,6137039.00,10105.05,,,
OSWALAGRO,OSWAL AGRO MILLS LTD,151275.00,130.01,,,
WAAREERTL,WAAREE RENEWABLE TECH LTD,461035.00,5113.70,,,
HARIOMPIPE,HARIOM PIPE INDUSTRIES L,480315.00,2581.64,,,
ASIANPAINT,ASIAN PAINTS LIMITED,822644.00,20475.31,,,
FEDERALBNK,FEDERAL BANK LTD.,5498151.00,11012.08,,,
POWERGRID,POWER GRID CORPORATION OF,5757398.00,17060.18,,,
SCODATUBES,SCODA TUBES LIMITED,352033.00,681.00,,,
INFIBEAM,INFIBEAM AVENUES LIMITED,25314743.00,4693.01,,,
RESPONIND,RESPONSIVE INDUSTRIES LTD,1981172.00,4548.82,,,
TITAGARH,TITAGARH RAIL SYSTEMS LTD,2451689.00,23241.05,,,
DAVANGERE,DAVANGERE SUGAR COMPANY L,7632839.00,303.30,,,
SIGACHI,SIGACHI INDUSTRIES LTD,9290884.00,4068.17,,,
SCILAL,SHIPPING CORP OF ILA LTD,2004118.00,1093.80,,,
MMTC,MMTC LIMITED,2227515.00,1608.21,,,
ASHOKLEY,ASHOK LEYLAND -DEP SETT,5402145.00,7130.33,,,
ACE,ACTION CONST EQUIP LTD,820528.00,9711.19,,,
ESCORTS,ESCORTS KUBOTA LIMITED,206263.00,7516.52,,,
FSL,FIRSTSOURCE SOLU. LTD.,1937640.00,6947.86,,,
INDHOTEL,THE INDIAN HOTELS CO. LTD,4143514.00,31646.00,,,
NTPC,8.41%S-R-NCD SERIES 1A,8196965.00,29175.64,,,
CRIZAC,CRIZAC LIMITED,604207.00,2026.11,,,
DAMCAPITAL,DAM CAPITAL ADVISORS LTD,1330890.00,3294.53,,,
DOLATALGO,DOLAT ALGOTECH LIMITED,649230.00,615.61,,,
LXCHEM,LAXMI ORGANIC INDUS LTD,2801711.00,6374.58,,,
SHAKTIPUMP,SHAKTI PUMPS (I) LTD,870797.00,7748.20,,,
ZENTEC,ZEN TECHNOLOGIES LIMITED,810293.00,13327.86,,,
SBFC,SBFC FINANCE LIMITED,3037518.00,3301.13,,,
BDL,BHARAT DYNAMICS LIMITED,3637431.00,62560.13,,,
NMDC,NMDC LIMITED,22628035.00,16633.22,,,
VEDL,VEDANTA LIMITED,14371180.00,64398.08,,,
UCOBANK,UCO BANK,35713063.00,12106.37,,,
RENUKA,SHREE RENUKA SUGARS LIMIT,21648652.00,7835.76,,,
EPACK,EPACK DURABLE LIMITED,1232839.00,4775.78,,,
AEGISVOPAK,AEGIS VOPAK TERMINALS LTD,334854.00,849.13,,,
PREMEXPLN,PREMIER EXPLOSIVES LTD,842546.00,4828.47,,,
APOLLO,APOLLO MICRO SYSTEMS LTD,3188411.00,8191.35,,,
COALINDIA,COAL INDIA LTD,9318867.00,37150.29,,,
SHRIRAMPPS,SHRIRAM PROPERTIES LTD,5635983.00,5574.18,,,
TEXINFRA,TEXMACO INFRA & HOLDG LTD,707693.00,828.62,,,
PAISALO,PAISALO DIGITAL LIMITED,12239245.00,4693.46,,,
PAGEIND,PAGE INDUSTRIES LIMITED,9326.00,4158.29,,,
POLICYBZR,PB FINTECH LIMITED,481614.00,8679.68,,,
BAJAJELEC,BAJAJ ELECT.LTD,378921.00,2328.14,,,
MHRIL,MAHINDRA HOLIDAYS LTD,288674.00,1057.11,,,
SBC,SBC EXPORTS LIMITED,29918627.00,5173.78,,,
