SEBI REPORT AS ON Reporting date 03-OCT-2025,,,,,
,,,,,
,,,,,
Sr.No.,Particulars,Rs. In Lakhs ,,,
1,Scripwise Total Outstanding on the beginning of the day,10640891.26,,,
2,Fresh Exposure taken during the day,355401.29,,,
3,Exposure liquidated during the day,354136.45,,,
4,Net scripwise outstanding at the end of the day,10642156.10,,,
,,,,,
,,,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs),,
AEGISVOPAK,AEGIS VOPAK TERMINALS LTD,332956.00,852.41,,
JPPOWER,JAIPRAKASH POWER VEN. LTD,75683948.00,15538.93,,
TITAGARH,TITAGARH RAIL SYSTEMS LTD,2472677.00,23421.42,,
APOLLO,APOLLO MICRO SYSTEMS LTD,2961189.00,7470.36,,
INDHOTEL,THE INDIAN HOTELS CO. LTD,4125392.00,31507.36,,
RENUKA,SHREE RENUKA SUGARS LTD,21490584.00,7779.38,,
TATACHEM,TATA CHEMICALS LTD,1275595.00,12318.49,,
VEDL,VEDANTA LIMITED,13505737.00,60607.12,,
ASHOKLEY,ASHOK LEYLAND LTD.,5747424.00,7628.00,,
OMINFRAL,OM INFRA LIMITED,451159.00,529.51,,
NMDC,NMDC LTD.,22551139.00,16589.84,,
JIOFIN,JIO FIN SERVICES LTD,48110106.00,147408.97,,
BAJAJELEC,BAJAJ ELECTRICALS LIMITED,385812.00,2362.84,,
PTC,PTC INDIA LIMITED,2964133.00,5398.33,,
STANLEY,STANLEY LIFESTYLES LTD,79540.00,261.50,,
DAMCAPITAL,DAM CAPITAL ADVISORS LTD,1377288.00,3403.78,,
TRANSRAILL,TRANSRAIL LIGHTING LTD,2675135.00,19783.76,,
COALINDIA,COAL INDIA LTD,9825279.00,39074.50,,
HCLTECH,HCL TECHNOLOGIES LTD,2334258.00,35917.00,,
TARC,TARC LIMITED,1965085.00,3468.87,,
LLOYDSME,LLOYDS METALS N ENERGY L,1334712.00,17466.12,,
TIRUMALCHM,THIRUMALAI CHEMICALS LTD.,1526514.00,4508.88,,
JBMA,JBM AUTO LIMITED,2459731.00,17180.40,,
PAISALO,PAISALO DIGITAL LIMITED,12584383.00,4823.29,,
BAYERCROP,BAYER CROPSCIENCE LTD,66423.00,3561.82,,
VIDHIING,VIDHI SPCLTY F INGRDNTS L,825207.00,3566.83,,
OLECTRA,OLECTRA GREENTECH LIMITED,1997379.00,30444.79,,
UCOBANK,UCO BANK,35763283.00,12118.38,,
SANGHVIMOV,SANGHVI MOVERS LTD,1224297.00,4066.91,,
PRIVISCL,PRIVI SPECIALITY CHE LTD,420013.00,9864.58,,
ASIANPAINT,ASIAN PAINTS LIMITED,824300.00,20509.70,,
PGEL,PG ELECTROPLAST LTD,4062338.00,22584.17,,
