,,,,,,Data Revised for reporting date 03-NOV-2025 to include late member submissions,,,
SEBI REPORT AS ON 03-NOV-2025,,,,,,,,,
,,As on Reporting Date 03-NOV-2025,,,,,,As on Current Date 06-NOV-2025 for reporting date 03-NOV-2025,
,Sr.No.,Particulars,Rs. In Lakhs ,,,,Sr.No.,Particulars,Rs. In Lakhs
,1,Scripwise Total Outstanding on the beginning of the day,10997397.30,,,,1,Scripwise Total Outstanding on the beginning of the day,10999260.99
,2,Fresh Exposure taken during the day,408430.33,,,,2,Fresh Exposure taken during the day,408441.17
,3,Exposure liquidated during the day,377984.80,,,,3,Exposure liquidated during the day,377997.19
,4,Net scripwise outstanding at the end of the day,11027842.83,,,,4,Net scripwise outstanding at the end of the day,11029704.97
,,,,,,,,,
,,,,,,,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs),,,Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,235663,562.13,,,20MICRONS,20 MICRONS LTD,235663,562.13
360ONE,360 ONE WAM LIMITED,390467,4291.68,,,360ONE,360 ONE WAM LIMITED,390467,4291.68
3IINFOLTD,3I INFOTECH LIMITED,466186,148.65,,,3IINFOLTD,3I INFOTECH LIMITED,467686,148.94
3MINDIA,3M INDIA LIMITED,7735,2348.17,,,3MINDIA,3M INDIA LIMITED,7735,2348.17
5PAISA,5PAISA CAPITAL LIMITED,73382,273.78,,,5PAISA,5PAISA CAPITAL LIMITED,73382,273.78
63MOONS,63 MOONS TECHNOLOGIES LTD,323609,2837.78,,,63MOONS,63 MOONS TECHNOLOGIES LTD,323609,2837.78
AAATECH,AAA TECHNOLOGIES LIMITED,3250,4.16,,,AAATECH,AAA TECHNOLOGIES LIMITED,3250,4.16
AADHARHFC,AADHAR HOUSING FINANCE L,1098063,5591.80,,,AADHARHFC,AADHAR HOUSING FINANCE L,1098063,5591.80
AARON,AARON INDUSTRIES LIMITED,278,0.81,,,AARON,AARON INDUSTRIES LIMITED,278,0.81
AARTECH,AARTECH SOLONICS LIMITED,75,0.04,,,AARTECH,AARTECH SOLONICS LIMITED,75,0.04
AARTIDRUGS,AARTI DRUGS LTD.,510306,2586.86,,,AARTIDRUGS,AARTI DRUGS LTD.,510806,2589.45
AARTIIND,AARTI INDUSTRIES LTD,3797711,16634.34,,,AARTIIND,AARTI INDUSTRIES LTD,3797711,16634.34
AARTIPHARM,AARTI PHARMALABS LIMITED,317807,2700.23,,,AARTIPHARM,AARTI PHARMALABS LIMITED,317947,2701.09
AARTISURF,AARTI SURFACTANTS LIMITED,2445,11.93,,,AARTISURF,AARTI SURFACTANTS LIMITED,2445,11.93
AARVI,AARVI ENCON LIMITED,133,0.16,,,AARVI,AARVI ENCON LIMITED,133,0.16
AAVAS,AAVAS FINANCIERS LIMITED,262207,4637.32,,,AAVAS,AAVAS FINANCIERS LIMITED,262207,4637.32
ABAN,ABAN OFFSHORE LTD.,750,0.58,,,ABAN,ABAN OFFSHORE LTD.,750,0.58
ABB,ABB INDIA LIMITED,510880,28899.73,,,ABB,ABB INDIA LIMITED,510880,28899.73
ABBOTINDIA,ABBOTT INDIA LIMITED,14127,4357.74,,,ABBOTINDIA,ABBOTT INDIA LIMITED,14127,4357.74
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,2821342,7109.76,,,ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,2821717,7110.60
ABCOTS,A B COTSPIN INDIA LIMITED,4000,17.01,,,ABCOTS,A B COTSPIN INDIA LIMITED,4000,17.01
ABDL,ALLIED BLEND N DISTILS L,765357,3873.08,,,ABDL,ALLIED BLEND N DISTILS L,765357,3873.08
ABFRL,ADITYA BIRLA FASHION & RT,32002927,39747.02,,,ABFRL,ADITYA BIRLA FASHION & RT,32002927,39747.02
ABGSEC,BIRLASLAMC - ABGSEC,261,0.29,,,ABGSEC,BIRLASLAMC - ABGSEC,261,0.29
ABINFRA,A B INFRABUILD LIMITED,2200,0.44,,,ABINFRA,A B INFRABUILD LIMITED,2200,0.44
ABLBL,ADITYA BIRLA LIFES BRAN L,7841272,11693.87,,,ABLBL,ADITYA BIRLA LIFES BRAN L,7841272,11693.87
ABREL,ADITYA BIRLA REAL EST LTD,319155,6564.30,,,ABREL,ADITYA BIRLA REAL EST LTD,319155,6564.30
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,457555,3765.69,,,ABSLAMC,ADIT BIRL SUN LIF AMC LTD,457555,3765.69
ABSLBANETF,BIRLASLAMC - ABSLBANETF,9759,5.55,,,ABSLBANETF,BIRLASLAMC - ABSLBANETF,9759,5.55
ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,11,0.11,,,ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,11,0.11
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,165976,126.55,,,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,165976,126.55
ABSLPSE,BIRLASLAMC-ABSLPSE,188400,19.20,,,ABSLPSE,BIRLASLAMC-ABSLPSE,188400,19.20
ACC,ACC LIMITED,770097,14875.64,,,ACC,ACC LIMITED,770408,14881.42
