SEBI REPORT AS ON Reporting date 06-NOV-2025,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,11133169.29,
2,Fresh Exposure taken during the day,394813.65,
3,Exposure liquidated during the day,334875.64,
4,Net scripwise outstanding at the end of the day,11193107.31,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,243226,577.77
360ONE,360 ONE WAM LIMITED,340608,3802.31
3IINFOLTD,3I INFOTECH LIMITED,449487,145.35
3MINDIA,3M INDIA LIMITED,5258,1663.27
5PAISA,5PAISA CAPITAL LIMITED,70367,261.65
63MOONS,63 MOONS TECHNOLOGIES LTD,337065,2940.04
AAATECH,AAA TECHNOLOGIES LIMITED,0,0.00
AADHARHFC,AADHAR HOUSING FINANCE L,1118256,5690.98
AARON,AARON INDUSTRIES LIMITED,273,0.80
AARTECH,AARTECH SOLONICS LIMITED,975,0.52
AARTIDRUGS,AARTI DRUGS LTD.,496007,2510.89
AARTIIND,AARTI INDUSTRIES LTD,3773223,16521.65
AARTIPHARM,AARTI PHARMALABS LIMITED,309963,2634.84
AARTISURF,AARTI SURFACTANTS LIMITED,2957,14.29
AARVI,AARVI ENCON LIMITED,133,0.16
AAVAS,AAVAS FINANCIERS LIMITED,264110,4662.33
ABAN,ABAN OFFSHORE LTD.,750,0.58
ABB,ABB INDIA LIMITED,512683,28979.44
ABBOTINDIA,ABBOTT INDIA LIMITED,15745,4840.08
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,3040824,7887.36
ABCOTS,A B COTSPIN INDIA LIMITED,5794,24.63
ABDL,ALLIED BLEND N DISTILS L,838360,4385.00
ABFRL,ADITYA BIRLA FASHION & RT,33054830,40560.28
ABGSEC,BIRLASLAMC - ABGSEC,261,0.29
ABINFRA,A B INFRABUILD LIMITED,2200,0.44
ABLBL,ADITYA BIRLA LIFES BRAN L,7056445,10545.11
ABREL,ADITYA BIRLA REAL EST LTD,313193,6459.45
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,453107,3723.38
ABSLBANETF,BIRLASLAMC - ABSLBANETF,9940,5.66
ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,11,0.11
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,165363,126.16
ABSLPSE,BIRLASLAMC-ABSLPSE,207380,21.14
ACC,ACC LIMITED,794266,15304.94
ACCELYA,ACCELYA SOLN INDIA LTD,309911,4508.65
ACE,ACTION CONST EQUIP LTD,728728,8594.54
ACI,ARCHEAN CHEMICAL IND LTD,300489,1976.80
