SEBI REPORT AS ON Reporting date 12-DEC-2025,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,11169437.99,
2,Fresh Exposure taken during the day,253195.00,
3,Exposure liquidated during the day,323059.83,
4,Net scripwise outstanding at the end of the day,11099573.16,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,182496,429.13
360ONE,360 ONE WAM LIMITED,277919,3115.84
3IINFOLTD,3I INFOTECH LIMITED,425195,120.31
3MINDIA,3M INDIA LIMITED,6126,2003.02
519397,SHARAT INDUSTRIES LTD.,7394,10.03
5PAISA,5PAISA CAPITAL LIMITED,111452,405.58
63MOONS,63 MOONS TECHNOLOGIES LTD,379928,3219.06
AADHARHFC,AADHAR HOUSING FINANCE L,1069388,5395.74
AARON,AARON INDUSTRIES LIMITED,437,1.08
AARTECH,AARTECH SOLONICS LIMITED,875,0.47
AARTIDRUGS,AARTI DRUGS LTD.,711267,3453.47
AARTIIND,AARTI INDUSTRIES LTD,3758652,16174.38
AARTIPHARM,AARTI PHARMALABS LIMITED,403598,3200.94
AARTISURF,AARTI SURFACTANTS LIMITED,3853,18.31
AARVI,AARVI ENCON LIMITED,528,0.69
AAVAS,AAVAS FINANCIERS LIMITED,270463,4645.63
ABAN,ABAN OFFSHORE LTD.,750,0.58
ABB,ABB INDIA LIMITED,421274,23764.78
ABBOTINDIA,ABBOTT INDIA LIMITED,14770,4473.87
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,2653297,7290.62
ABCOTS,A B COTSPIN INDIA LIMITED,59074,246.33
ABDL,ALLIED BLEND N DISTILS L,942227,5128.17
ABFRL,ADITYA BIRLA FASHION & RT,32230216,39345.07
ABGSEC,BIRLASLAMC - ABGSEC,261,0.29
ABINFRA,A B INFRABUILD LIMITED,200000,38.41
ABLBL,ADITYA BIRLA LIFES BRAN L,6309672,9464.89
ABREL,ADITYA BIRLA REAL EST LTD,346395,6908.79
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,482566,3860.66
ABSLBANETF,BIRLASLAMC - ABSLBANETF,9573,5.52
ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,211,2.11
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,166096,126.70
ABSLPSE,BIRLASLAMC-ABSLPSE,230456,23.16
ACC,ACC LIMITED,748807,14268.11
ACCELYA,ACCELYA SOLN INDIA LTD,243953,3504.82
ACCURACY,ACCURACY SHIPPING LIMITED,250,0.02
ACE,ACTION CONST EQUIP LTD,683998,7806.44
ACI,ARCHEAN CHEMICAL IND LTD,433208,2677.03
ACLGATI,ALLCARGO GATI LIMITED,55449,35.88
ACMESOLAR,ACME SOLAR HOLDINGS LTD,2536878,6966.98
ACUTAAS,ACUTAAS CHEMICALS LIMITED,458030,7246.84
ADANIENSOL,ADANI ENERGY SOLUTION LTD,1162910,10410.32
ADANIENT,ADANI ENTERPRISES LIMITED,1645894,40654.69
ADANIGREEN,ADANI GREEN ENERGY LTD,2633121,27969.31
ADANIPORTS,ADANI PORT & SEZ LTD,1490209,21271.67
ADANIPOWER,ADANI POWER LTD,32470806,48405.53
ADFFOODS,ADF FOODS LIMITED,766589,1960.76
ADOR,ADOR WELDING LTD,42705,476.51
ADSL,ALLIED DIGITAL SERV. LTD,327105,623.24
ADVANCE,ADVANCE AGROLIFE LIMITED,536431,728.52
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,26392,16.81
ADVENZYMES,ADVANCED ENZYME TECH LTD,676183,2357.37
AEGISLOG,AEGIS LOGISTICS LIMITED,1098910,8747.21
AEGISVOPAK,AEGIS VOPAK TERMINALS LTD,625675,1641.86
AEROENTER,AEROFLEX ENTERPRISES LTD,868397,869.03
AEROFLEX,AEROFLEX INDUSTRIES LTD,2270402,4299.16
AETHER,AETHER INDUSTRIES LIMITED,294089,2332.12
AFCONS,AFCONS INFRASTRUCTURE LTD,1117260,4918.52
AFFLE,AFFLE 3I LIMITED,318982,5822.92
AFFORDABLE,AFFORD ROBO & AUTO LTD,5274,14.56
AFIL,AKME FINTRADE (INDIA) LTD,11572146,894.00
AFSL,ABANS FINANCIAL SRVCS LTD,27374,64.71
