SEBI REPORT AS ON Reporting date 13-OCT-2025,,,,,,,
,,,,,,,
Sr.No.,Particulars,Rs. In Lakhs ,,,,,
1,Scripwise Total Outstanding on the beginning of the day,10769429.72,,,,,
2,Fresh Exposure taken during the day,354750.64,,,,,
3,Exposure liquidated during the day,325028.41,,,,,
4,Net scripwise outstanding at the end of the day,10799151.95,,,,,
,,,,,,,
,,,,,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs),,,,
HSCL,HIMADRI SPECIALITY CHEM L,4343926.00,21197.02,,,,
FSL,FIRSTSOURCE SOLU. LTD.,1997999.00,7116.58,,,,
PAISALO,PAISALO DIGITAL LIMITED,12387663.00,4748.43,,,,
TRANSRAILL,TRANSRAIL LIGHTING LTD,2612012.00,19279.51,,,,
GLENMARK,GLENMARK NPP010100 DEPO,312324.00,6284.71,,,,
JIOFIN,JIO FIN SERVICES LTD,47713483.00,146308.08,,,,
NMDC,NMDC LIMITED,25137870.00,18648.64,,,,
UCOBANK,UCO BANK,36230128.00,12275.80,,,,
ACE,ACTION CONST EQUIP LTD,827737.00,9768.06,,,,
COALINDIA,COAL INDIA LTD,10159410.00,40267.95,,,,
NTPC,NTPC LTD,8031636.00,28474.94,,,,
BDL,BHARAT DYNAMICS LIMITED,3934361.00,66888.30,,,,
ASIANPAINT,ASIAN PAINTS LIMITED,905721.00,22365.82,,,,
SBC,SBC EXPORTS LIMITED,28828823.00,5002.52,,,,
JBMA,JBM AUTO LIMITED,2505175.00,17416.21,,,,
HCLTECH,HCL TECHNOLOGIES LTD,1925409.00,29908.97,,,,
SHRIRAMPPS,SHRIRAM PROPERTIES LTD,5453951.00,5350.94,,,,
APOLLO,APOLLO MICRO SYSTEMS LTD,3451244.00,9153.63,,,,
JPPOWER,JAIPRAKASH POWER VEN. LT,74997966.00,15353.72,,,,
ZENTEC,ZEN TECHNOLOGIES LIMITED,909846.00,14625.56,,,,
ACC,ACC LIMITED,726859.00,14041.26,,,,
RAMKY,RAMKY INFRA LTD,1379768.00,8055.50,,,,
RENUKA,SHREE RENUKA SUGARS LTD,21654230.00,7798.47,,,,
PAGEIND,PAGE INDUSTRIES LIMITED,11546.00,5080.11,,,,
SUPREMEIND,SUPREME INDUSTRIES LTD,169308.00,7534.18,,,,
ZYDUSLIFE,ZYDUS LIFESCIENCES LTD,629770.00,6422.79,,,,
RPTECH,RASHI PERIPHERALS LIMITED,288562.00,957.00,,,,
AFCONS,AFCONS INFRASTRUCTURE LTD,1368780.00,6189.48,,,,
UNIMECH,UNIMECH AEROSPACE N MFG L,28050.00,298.20,,,,
DATAMATICS,DATAMATICS GLOBAL SER LTD,395996.00,3420.42,,,,
TRITURBINE,TRIVENI TURBINE LIMITED,1098973.00,6540.99,,,,
LXCHEM,LAXMI ORGANIC INDUS LTD,2875469.00,6489.83,,,,
PGEL,PG ELECTROPLAST LTD,3401052.00,18996.11,,,,
POWERINDIA,HITACHI ENERGY INDIA LTD,76493.00,14392.45,,,,
VEDL,VEDANTA LIMITED,13197447.00,59568.12,,,,
POWERGRID,POWER GRID CORP. LTD.,5280758.00,15671.83,,,,
ROUTE,ROUTE MOBILE LIMITED,876349.00,8919.16,,,,
PTC,PTC INDIA LIMITED,2978860.00,5398.63,,,,
INFIBEAM,INFIBEAM AVENUES LIMITED,21395325.00,4098.57,,,,
SHALBY,SHALBY LIMITED,843013.00,2018.45,,,,
KIRLPNU,KIRLOSKAR PNEUMATIC COM L,124262.00,1630.66,,,,
SPIC,SPIC LTD,3181277.00,3267.08,,,,
LEMONTREE,LEMON TREE HOTELS LTD,7014458.00,11589.26,,,,
FIRSTCRY,BRAINBEES SOLUTIONS LTD,2452409.00,9481.99,,,,
BOMDYEING,BOMBAY DYEING & MFG CO.,6380959.00,10838.81,,,,
KUANTUM,KUANTUM PAPERS LIMITED,311409.00,377.87,,,,
OLECTRA,OLECTRA GREENTECH LIMITED,2055978.00,31313.97,,,,
SIGACHI,SIGACHI INDUSTRIES LTD,8934046.00,3879.20,,,,
AMJLAND,AMJ LAND HOLDINGS LIMITED,200.00,0.12,,,,
AWFIS,AWFIS SPACE SOLUTIONS LTD,794228.00,4860.01,,,,
GUJGASLTD,GUJARAT GAS LIMITED,543745.00,2653.25,,,,
METROPOLIS,METROPOLIS HEALTHCARE LTD,79507.00,1638.32,,,,
RTNINDIA,RATTANINDIA ENT LIMITED,16611756.00,9586.18,,,,
RHIM,RHI MAGNESITA INDIA LTD,1262263.00,6234.39,,,,
KOTHARIPET,KOTHARI PETROCHEM LTD,97585.00,161.72,,,,
DAMCAPITAL,DAM CAPITAL ADVISORS LTD,1406638.00,3504.35,,,,
MANKIND,MANKIND PHARMA LIMITED,198128.00,5020.14,,,,
DOLLAR,DOLLAR INDUSTRIES LIMITED,172002.00,689.35,,,,
MANALIPETC,MANALI PETROCHEMICALS LT,589539.00,450.70,,,,
SBICARD,SBI CARDS & PAY SER LTD,526173.00,4800.79,,,,
SCILAL,SHIPPING CORP OF ILA LTD,2109536.00,1142.54,,,,
EMAMILTD,EMAMI LIMITED,725384.00,4300.06,,,,
FEDERALBNK,FEDERAL BANK LTD,4474682.00,9093.58,,,,
OAL,ORIENTAL AROMATICS LTD,20566.00,94.91,,,,
BAJAJELEC,BAJAJ ELECT.LTD,398476.00,2413.47,,,,
TEXINFRA,TEXMACO INFRA & HOLDG LTD,708708.00,825.59,,,,
INDHOTEL,INDIAN HOTELS CO. LTD.,4126315.00,31480.44,,,,
SERVOTECH,SERVOTECH REN POW SYS LTD,573503.00,792.12,,,,
JGCHEM,J.G.CHEMICALS LIMITED,217996.00,1045.55,,,,
TITAGARH,TITAGARH RAIL SYSTEMS LTD,2655745.00,25096.36,,,,
SBFC,SBFC FINANCE LIMITED,3229147.00,3507.73,,,,
ASHOKLEY,ASHOK LEYLAND LTD,6554568.00,8756.87,,,,
JINDALPHOT,JINDAL PHOTO LIMITED,129.00,2.02,,,,
FOSECOIND,FOSECO INDIA LTD,4064.00,240.83,,,,
LLOYDSME,LLOYDS METALS N ENERGY L,1384855.00,18183.73,,,,
PRAKASH,PRAKASH INDUSTRIES LTD,3370519.00,5569.30,,,,
