SEBI REPORT AS ON Reporting date 24-OCT-2025,,,
,,,
,,,
Sr.No.,Particulars,Rs. In Lakhs ,
1,Scripwise Total Outstanding on the beginning of the day,10744737.69,
2,Fresh Exposure taken during the day,454520.92,
3,Exposure liquidated during the day,304025.87,
4,Net scripwise outstanding at the end of the day,10895232.74,
,,,
,,,
Symbol,Name,Qty Fin by all the members(No.of Shares),Amt Fin by all the members(Rs. In Lakhs)
20MICRONS,20 MICRONS LTD,200768,492.15
360ONE,360 ONE WAM LIMITED,353284,3886.18
3IINFOLTD,3I INFOTECH LIMITED,440281,144.61
3MINDIA,3M INDIA LIMITED,8394,2542.95
500245,KIRLOSKAR FERROUS INDUSTRIES L,2,0.01
5PAISA,5PAISA CAPITAL LIMITED,73319,277.98
63MOONS,63 MOONS TECHNOLOGIES LTD,325058,2866.32
AAATECH,AAA TECHNOLOGIES LIMITED,3250,4.16
AADHARHFC,AADHAR HOUSING FINANCE L,1025031,5219.26
AARON,AARON INDUSTRIES LIMITED,895,2.14
AARTECH,AARTECH SOLONICS LIMITED,75,0.04
AARTIDRUGS,AARTI DRUGS LTD.,368451,1890.71
AARTIIND,AARTI INDUSTRIES LTD,3899667,17104.64
AARTIPHARM,AARTI PHARMALABS LIMITED,332870,2835.81
AARTISURF,AARTI SURFACTANTS LIMITED,2301,11.25
AARVI,AARVI ENCON LIMITED,133,0.16
AAVAS,AAVAS FINANCIERS LIMITED,272882,4854.59
ABAN,ABAN OFFSHORE LTD.,750,0.58
ABB,ABB INDIA LIMITED,512338,29046.06
ABBOTINDIA,ABBOTT INDIA LIMITED,11706,3667.85
ABCAPITAL,ADITYA BIRLA CAPITAL LTD.,3406868,8595.01
ABDL,ALLIED BLEND N DISTILS L,726888,3542.88
ABFRL,ADITYA BIRLA FASHION & RT,32220562,40007.00
ABGSEC,BIRLASLAMC - ABGSEC,261,0.29
ABINFRA,A B INFRABUILD LIMITED,8200,1.57
ABLBL,ADITYA BIRLA LIFES BRAN L,7552103,11307.89
ABREL,ADITYA BIRLA REAL EST LTD,385284,7727.66
ABSLAMC,ADIT BIRL SUN LIF AMC LTD,389565,3258.14
ABSLBANETF,BIRLASLAMC - ABSLBANETF,6431,3.57
ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,11,0.11
ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,172850,131.41
ABSLPSE,BIRLASLAMC-ABSLPSE,98652,9.90
ACC,ACC LIMITED,746216,14371.87
ACCELYA,ACCELYA SOLN INDIA LTD,317006,4622.83
ACE,ACTION CONST EQUIP LTD,797465,9424.23
ACI,ARCHEAN CHEMICAL IND LTD,320533,2110.11
ACL,ANDHRA CEMENTS LIMITED,62,0.04
ACLGATI,ALLCARGO GATI LIMITED,1134589,833.05
ACMESOLAR,ACME SOLAR HOLDINGS LTD,2128437,6244.72
ACUTAAS,ACUTAAS CHEMICALS LIMITED,379925,5599.50
ADANIENSOL,ADANI ENERGY SOLUTION LTD,1307669,11458.10
ADANIENT,ADANI ENTERPRISES LIMITED,948487,24748.29
ADANIGREEN,ADANI GREEN ENERGY LTD,2729552,28906.99
ADANIPORTS,ADANI PORT & SEZ LTD,1802841,25195.84
ADANIPOWER,ADANI POWER LTD,23787598,35353.04
ADFFOODS,ADF FOODS LIMITED,793084,2047.24
ADOR,ADOR WELDING LTD,84179,985.82
ADSL,ALLIED DIGITAL SERV. LTD,354254,698.64
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,32382,20.76
ADVENZYMES,ADVANCED ENZYME TECH LTD,702491,2462.06
AEGISLOG,AEGIS LOGISTICS LIMITED,929413,7504.06
AEGISVOPAK,AEGIS VOPAK TERMINALS LTD,395014,1046.60
AEROENTER,AEROFLEX ENTERPRISES LTD,978668,992.42
AEROFLEX,AEROFLEX INDUSTRIES LTD,2467825,4702.40
AETHER,AETHER INDUSTRIES LIMITED,446554,3429.97
AFCONS,AFCONS INFRASTRUCTURE LTD,1410681,6374.78
AFFLE,AFFLE 3I LIMITED,224309,4322.62
AFFORDABLE,AFFORD ROBO & AUTO LTD,9445,26.98
AFIL,AKME FINTRADE (INDIA) LTD,12872056,999.55
AFSL,ABANS FINANCIAL SRVCS LTD,29082,70.33
AGARIND,AGARWAL INDS CORP LTD.,45744,456.82
AGARWALEYE,DR AGARWALS HEALTH CARE L,122085,597.60
AGI,AGI GREENPAC LIMITED,458876,4009.73
AGIIL,AGI INFRA LIMITED,2022333,4233.13
AGRITECH,AGRI-TECH (INDIA) LIMITED,2549,4.82
AGSTRA,AGS TRANSACT TECH LTD,3262,3.15
AHLADA,AHLADA ENGINEERS LIMITED,5743,5.37
AHLEAST,ASIAN HOTELS (EAST) LTD,1201,1.84
AHLUCONT,AHLUWALIA CONT IND LTD,283283,2864.39
AIAENG,AIA ENGINEERING LIMITED,83951,2803.42
AIIL,AUTHUM INVEST & INFRA LTD,79079,2277.15
AIRAN,AIRAN LIMITED,88053,24.53
AJANTPHARM,AJANTA PHARMA LIMITED,84774,2239.35
AJAXENGG,AJAX ENGINEERING LIMITED,142097,940.62
AJMERA,AJMERA REALTY & INF I LTD,215218,2081.10
AJOONI,AJOONI BIOTECH LIMITED,7000,0.40
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,250,0.77
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,1000,0.07
AKUMS,AKUMS DRUGS AND PHARMA L,424758,2201.24
AKZOINDIA,AKZO NOBEL INDIA LIMITED,29345,1039.12
ALANKIT,ALANKIT LIMITED,269539,38.33
ALBERTDAVD,ALBERT DAVID LIMITED,3916,32.25
ALEMBICLTD,ALEMBIC LIMITED,2374742,2810.10
ALICON,ALICON CASTALLOY LIMITED,7392,78.23
ALIVUS,ALIVUS LIFE SCIENCES LTD,217936,2247.89
ALKALI,ALKALI METALS LTD,880,0.84
ALKEM,ALKEM LABORATORIES LTD.,22564,1237.60
ALKYLAMINE,ALKYL AMINES CHEM. LTD,172371,3574.17
ALLCARGO,ALLCARGO LOGISTICS LTD,13444401,5051.45
ALLDIGI,ALLDIGI TECH LIMITED,32602,253.82
ALLTIME,ALL TIME PLASTICS LIMITED,154938,440.21
ALMONDZ,ALMONDZ GLOBAL SEC LTD,11285,2.46
ALOKINDS,ALOK INDUSTRIES LIMITED,15178541,2938.22
ALPA,ALPA LABORATORIES LTD,2698,2.97
