 trade_date |   symbol   | mtf_change_cr 
------------+------------+---------------
 2025-12-19 | WAAREEENER |        -26.74
 2025-12-19 | PAYTM      |        -15.64
 2025-12-19 | MAZDOCK    |        -11.59
 2025-12-19 | LLOYDSME   |        -11.23
 2025-12-19 | POLICYBZR  |         -8.13
 2025-12-19 | SRF        |         -6.19
 2025-12-19 | RECLTD     |         -6.13
 2025-12-19 | MANKIND    |         -4.10
 2025-12-19 | ABCAPITAL  |         -4.03
 2025-12-19 | SBICARD    |         -3.86
(10 rows)

