 trade_date |   symbol   | mtf_change_cr 
------------+------------+---------------
 2025-12-19 | CANTABIL   |          8.41
 2025-12-19 | SHRINGARMS |          8.22
 2025-12-19 | EFCIL      |          7.13
 2025-12-19 | TATSILV    |          5.60
 2025-12-19 | SBC        |          4.25
 2025-12-19 | RICOAUTO   |          4.03
 2025-12-19 | KNRCON     |          3.36
 2025-12-19 | DIAMONDYD  |          2.98
 2025-12-19 | PTC        |          2.79
 2025-12-19 | AGIIL      |          2.63
(10 rows)

