 trade_date |   symbol   | mtf_change_cr 
------------+------------+---------------
 2025-12-19 | LAURUSLABS |        -28.86
 2025-12-19 | RVNL       |        -17.37
 2025-12-19 | MCX        |        -12.97
 2025-12-19 | BDL        |        -11.73
 2025-12-19 | FORTIS     |         -6.82
 2025-12-19 | YESBANK    |         -6.43
 2025-12-19 | KALYANKJIL |         -6.20
 2025-12-19 | BIOCON     |         -6.14
 2025-12-19 | OIL        |         -5.85
 2025-12-19 | HDBFS      |         -4.75
(10 rows)

