 trade_date |   symbol   | mtf_change_cr 
------------+------------+---------------
 2025-12-19 | COFORGE    |         10.75
 2025-12-19 | UPL        |          5.65
 2025-12-19 | GLENMARK   |          4.98
 2025-12-19 | MOTILALOFS |          3.21
 2025-12-19 | SAIL       |          2.91
 2025-12-19 | NATIONALUM |          2.30
 2025-12-19 | NMDC       |          1.85
 2025-12-19 | IOB        |          1.67
 2025-12-19 | ATGL       |          1.57
 2025-12-19 | LINDEINDIA |          0.79
(10 rows)

