 trade_date |   symbol   | mtf_change_cr 
------------+------------+---------------
 2025-12-19 | TATAELXSI  |        -31.60
 2025-12-19 | PREMIERENE |        -30.31
 2025-12-19 | NBCC       |        -12.62
 2025-12-19 | KEI        |        -11.01
 2025-12-19 | KPITTECH   |         -9.37
 2025-12-19 | MAHABANK   |         -6.12
 2025-12-19 | COCHINSHIP |         -6.07
 2025-12-19 | ITCHOTELS  |         -5.81
 2025-12-19 | NH         |         -4.46
 2025-12-19 | CENTRALBK  |         -3.95
(10 rows)

