 trade_date |   symbol   | mtf_change_cr 
------------+------------+---------------
 2025-12-19 | AKZOINDIA  |        -22.48
 2025-12-19 | KAYNES     |        -22.36
 2025-12-19 | KFINTECH   |        -14.92
 2025-12-19 | SOUTHBANK  |        -13.58
 2025-12-19 | GRSE       |        -13.46
 2025-12-19 | ANANTRAJ   |        -12.45
 2025-12-19 | OLAELEC    |         -9.58
 2025-12-19 | PNBHOUSING |         -9.54
 2025-12-19 | SAGILITY   |         -9.03
 2025-12-19 | TEGA       |         -6.89
(10 rows)

