 trade_date |   symbol   | mtf_change_cr 
------------+------------+---------------
 2025-12-19 | SILVERBEES |         20.34
 2025-12-19 | GRANULES   |         13.02
 2025-12-19 | PTCIL      |          8.66
 2025-12-19 | BLS        |          6.32
 2025-12-19 | NUVAMA     |          5.55
 2025-12-19 | ABLBL      |          4.51
 2025-12-19 | MANAPPURAM |          4.22
 2025-12-19 | RPOWER     |          4.09
 2025-12-19 | FIVESTAR   |          3.93
 2025-12-19 | KIMS       |          3.70
(10 rows)

