 trade_date |   symbol   | mtf_change_cr 
------------+------------+---------------
 2025-12-19 | BEL        |        -34.90
 2025-12-19 | RELIANCE   |        -34.85
 2025-12-19 | POLYCAB    |        -21.32
 2025-12-19 | TMPV       |        -19.20
 2025-12-19 | IDEA       |        -18.04
 2025-12-19 | TCS        |        -17.53
 2025-12-19 | JIOFIN     |        -17.13
 2025-12-19 | SHRIRAMFIN |        -15.93
 2025-12-19 | BANKBARODA |        -13.13
 2025-12-19 | INDIGO     |        -11.85
(10 rows)

