 trade_date |   symbol   | mtf_change_cr 
------------+------------+---------------
 2025-12-19 | TMCV       |         31.67
 2025-12-19 | HCLTECH    |         16.58
 2025-12-19 | CANBK      |         12.95
 2025-12-19 | BSE        |         11.48
 2025-12-19 | ICICIBANK  |         10.85
 2025-12-19 | TATASTEEL  |          9.53
 2025-12-19 | BHARTIARTL |          8.30
 2025-12-19 | HINDALCO   |          6.49
 2025-12-19 | CHOLAFIN   |          5.71
 2025-12-19 | DRREDDY    |          3.80
(10 rows)

