 trade_date |   symbol   | mtf_change_cr 
------------+------------+---------------
 2025-12-19 | KTKBANK    |         17.48
 2025-12-19 | KPIGREEN   |         10.96
 2025-12-19 | TANLA      |          5.11
 2025-12-19 | BALRAMCHIN |          5.04
 2025-12-19 | BBOX       |          4.45
 2025-12-19 | SHAKTIPUMP |          3.68
 2025-12-19 | HDFCSILVER |          2.72
 2025-12-19 | JSLL       |          2.09
 2025-12-19 | SAPPHIRE   |          1.96
 2025-12-19 | RENUKA     |          1.94
(10 rows)

