 trade_date |   symbol   | mtf_change_cr 
------------+------------+---------------
 2025-12-19 | BLSE       |        -21.49
 2025-12-19 | GUJTHEM    |        -11.10
 2025-12-19 | ASIANTILES |         -5.45
 2025-12-19 | KMEW       |         -4.63
 2025-12-19 | RAIN       |         -3.86
 2025-12-19 | WEL        |         -3.19
 2025-12-19 | MATRIMONY  |         -2.62
 2025-12-19 | CEIGALL    |         -2.38
 2025-12-19 | SURAJEST   |         -2.21
 2025-12-19 | AEROFLEX   |         -2.07
(10 rows)

