 trade_date |   symbol   | mtf_change_cr 
------------+------------+---------------
 2025-12-19 | GOLDBEES   |         29.91
 2025-12-19 | VOLTAS     |          4.17
 2025-12-19 | BLUESTARCO |          2.90
 2025-12-19 | NAVINFLUOR |          1.98
 2025-12-19 | ESCORTS    |          1.74
 2025-12-19 | GLAXO      |          1.53
 2025-12-19 | ACC        |          0.71
 2025-12-19 | JKCEMENT   |          0.60
 2025-12-19 | AIAENG     |          0.46
 2025-12-19 | HEXT       |          0.40
(10 rows)

