 trade_date |   symbol   | mtf_change_cr 
------------+------------+---------------
 2025-12-19 | EMBDL      |        -20.68
 2025-12-19 | TARIL      |         -7.60
 2025-12-19 | BALUFORGE  |         -7.53
 2025-12-19 | ABFRL      |         -7.02
 2025-12-19 | JAYNECOIND |         -4.61
 2025-12-19 | LOTUSDEV   |         -4.54
 2025-12-19 | ASHAPURMIN |         -3.22
 2025-12-19 | STAR       |         -2.67
 2025-12-19 | INDIAGLYCO |         -1.90
 2025-12-19 | LLOYDSENT  |         -1.84
(10 rows)

